<doc id="edoc_wd_1730-03-22" attrs="word" year="1730" month="03" day="22" corpus="1">
<head id="hl2">
Mit	w17
Kriegs	w1842
<g/>
=
Comtoirs	w1844
<g/>
,
für	w1846
welche	w1847
das	w1848
Par=lament	w1849
<g/>
=
noch	w1851
nicht	w1852
gesorget	w1853
<g/>
/
bewilligen	w1855
<g/>
.
Die	w1857
Lords	w1858
haben	w1859
die	w1860
Bill	w1861
der	w1862
Gemeinen	w1863
<g/>
/
worinnen	w1865
eine	w1866
Landerey	w1867
<g/>
=
Taxe	w1869
für	w1870
das	w1871
jetzt	w1872
<g/>
=
lauffende	w1874
Jahr	w1875
aufgesetzet	w1876
<g/>
/
zum	w1878
drittenmal	w1879
gelesen	w1880
<g/>
/
selbige	w1882
ohne	w1883
eine	w1884
ein=zige	w1885
<g/>
=
Aenderung	w1887
für	w1888
gut	w1889
befunden	w1890
<g/>
/
und	w1892
solches	w1893
dem	w1894
Unter	w1895
<g/>
=
Hause	w1897
wissen	w1898
lassen	w1899
<g/>
.
Folgendes	w1901
gienge	w1902
der	w1903
König	w1904
in	w1905
das	w1906
Ober	w1907
<g/>
=
Hause	w1909
<g/>
/
setzte	w1911
sich	w1912
mit	w1913
denen	w1914
üblichen	w1915
Ceremonien	w1916
<g/>
/
auf	w1918
dem	w1919
Thron	w1920
<g/>
/
liesse	w1922
die	w1923
Gemeinen	w1924
auch	w1925
herein	w1926
ruffen	w1927
<g/>
/
und	w1929
er=theilte	w1930
<g/>
=
seinen	w1932
Königl	w1933
<g/>
.
Consens	w1935
zu	w1936
der	w1937
Acte	w1938
wegen	w1939
der	w1940
Auflage	w1941
einer	w1942
Land	w1943
<g/>
=
Taxe	w1945
<g/>
/
wie	w1947
auch	w1948
zu	w1949
einer	w1950
particularen	w1951
Acte	w1952
<g/>
,
keh=rete	w1954
<g/>
=
hernach	w1956
wieder	w1957
nach	w1958
dem	w1959
Pallast	w1960
zu	w1961
St	w1962
<g/>
.
James	w1964
<g/>
/
und	w1966
die	w1967
beede	w1968
Häuser	w1969
gien=gen	w1970
<g/>
=
auch	w1972
<g/>
/
bis	w1974
auf	w1975
den	w1976
nechsten	w1977
Montag	w1978
<g/>
/
auseinander	w1980
<g/>
.
</p>
<p id="p23">
Der	w1982
König	w1983
hat	w1984
einer	w1985
gewissen	w1986
Per=son	w1987
<g/>
=
ein	w1989
Privilegium	w1990
gegeben	w1991
<g/>
/
eine	w1993
siche=re	w1994
<g/>
=
Maschine	w1996
<g/>
,
so	w1998
dieselbe	w1999
erfunden	w2000
<g/>
/
und	w2002
welche	w2003
das	w2004
Brennen	w2005
deren	w2006
Schorsteine	w2007
verhindert	w2008
<g/>
/
bloß	w2010
alleine	w2011
zu	w2012
verkauffen	w2013
<g/>
.
Ein	w2015
Glaß	w2016
<g/>
=
Händler	w2018
<g/>
/
welcher	w2020
vom	w2021
Jahr	w2022
<g/>
=
Markt	w2024
von	w2025
Bristol	w2026
zurük	w2027
gekommen	w2028
<g/>
/
ist	w2030
unterwegens	w2031
von	w2032
Strassen	w2033
<g/>
=
Räubern	w2035
erschossen	w2036
<g/>
/
und	w2038
alles	w2039
des	w2040
seinigen	w2041
berau=bet	w2042
<g/>
=
worden	w2044
<g/>
.
Die	w2046
Torris	w2047
machen	w2048
noch	w2049
immer	w2050
groß	w2051
Wesen	w2052
<g/>
/
daß	w2054
man	w2055
die	w2056
Hes Hessen	w2057
<g/>
=
</p>
<p id="p24">
sen	w2059
<g/>
=
Casselisch	w2061
<g/>
=
und	w2063
Wolfenbüttelische	w2064
Truppen	w2065
in	w2066
Engländischen	w2067
Sold	w2068
behält	w2069
<g/>
/
da	w2071
man	w2072
doch	w2073
nunmehr	w2074
nichts	w2075
zu	w2076
förchten	w2077
hat	w2078
<g/>
/
und	w2080
die	w2081
Unterhaltung	w2082
einer	w2083
<g/>
/
auch	w2085
Engländischen	w2086
Armee	w2087
<g/>
/
der	w2089
Groß	w2090
<g/>
=
Bri=tannischen	w2092
<g/>
=
Regiments	w2094
<g/>
=
Form	w2096
zuwider	w2097
<g/>
/
die	w2099
Engländischen	w2100
Allirten	w2101
aber	w2102
sich	w2103
selbst	w2104
beschützen	w2105
können	w2106
<g/>
/
und	w2108
England	w2109
nicht	w2110
nöhtig	w2111
hat	w2112
<g/>
/
sich	w2114
mit	w2115
fremden	w2116
Streitig=keiten	w2117
<g/>
=
zu	w2119
meliren	w2120
<g/>
:
voraus	w2122
da	w2123
die	w2124
Suc-cessions	w2125
<g/>
-
<g/>
-
Acte	w2128
mit	w2129
sich	w2130
führet	w2131
<g/>
/
daß	w2133
im	w2134
Fall	w2135
England	w2136
an	w2137
einen	w2138
auswärtigen	w2139
Fürsten	w2140
fallen	w2141
solte	w2142
<g/>
/
die	w2144
Nation	w2145
nicht	w2146
gehalten	w2147
seyn	w2148
solte	w2149
<g/>
/
dessen	w2151
Länder	w2152
<g/>
/
und	w2154
Staaten	w2155
<g/>
/
ausserhalb	w2157
England	w2158
<g/>
/
zu	w2160
de-fendiren	w2161
<g/>
-
<g/>
/
und	w2164
sich	w2165
deshalb	w2166
in	w2167
einen	w2168
Krieg	w2169
einzulassen	w2170
<g/>
.
</p>
<head id="hl11">
Aus	w2172
Frankreich	w2173
<g/>
.
</head>
<head id="hl12">
Paris	w2175
6	w2176
<g/>
.
Marti	w2178
<g/>
.
</head>
<p id="p25">
Man	w2180
machet	w2181
alle	w2182
Zurüstungen	w2183
zu	w2184
dem	w2185
bevorstehenden	w2186
Feld=	w2187
<g/>
=
an	w2189
de	w2190
Maaß	w2191
<g/>
/
und	w2193
an	w2194
der	w2195
Sambre	w2196
<g/>
.
Die	w2198
Reuterey	w2199
<g/>
/
welche	w2201
unter	w2202
dem	w2203
Commando	w2204
des	w2205
Gra=fen	w2206
<g/>
=
von	w2208
Belle	w2209
<g/>
-
Isle	w2211
das	w2212
Feld	w2213
Lager	w2214
an	w2215
der	w2216
Maaß	w2217
beziehen	w2218
solle	w2219
<g/>
/
bestehet	w2221
in	w2222
fol=genden	w2223
<g/>
=
17	w2225
<g/>
.
Regimenteren	w2227
zu	w2228
Pferd	w2229
<g/>
:
Kö=nigl	w2231
<g/>
=
<g/>
.
Frembd	w2234
<g/>
/
Königl	w2236
<g/>
.
Roussillon	w2238
<g/>
,
Kö=nigl	w2240
<g/>
=
<g/>
.
Teutsch	w2243
<g/>
/
Königin	w2245
<g/>
/
König	w2247
Sta=nislaus	w2248
<g/>
=
<g/>
/
Orleans	w2251
<g/>
,
Bourbon	w2253
<g/>
,
Toulouz-ze	w2255
<g/>
-
<g/>
,
Villeroy	w2258
<g/>
,
La	w2260
Tour	w2261
<g/>
,
Lothringen	w2263
<g/>
/
Montreuil	w2265
<g/>
,
Beringhen	w2267
<g/>
,
Lenoncourt	w2269
<g/>
,
Rosen	w2271
<g/>
/
Bethune	w2273
<g/>
,
Mouchy	w2275
<g/>
,
welche	w2277
zu=men	w2278
<g/>
=
52	w2280
<g/>
.
Esquadrons	w2282
machen	w2283
<g/>
.
</p>
<p id="p26">
Das	w2285
Feld	w2286
<g/>
=
Lager	w2288
<g/>
/
so	w2290
an	w2291
der	w2292
Sambre	w2293
unter	w2294
Commando	w2295
des	w2296
Printzen	w2297
von	w2298
Tin-gry	w2299
<g/>
-
zu	w2301
stehen	w2302
kommet	w2303
<g/>
/
bestehet	w2305
aus	w2306
denen	w2307
hernach	w2308
genannten	w2309
19	w2310
<g/>
.
Regimenteren	w2312
zu	w2313
Pferd	w2314
<g/>
:
Colonel	w2316
General	w2317
<g/>
/
Feldmeister	w2319
General	w2320
<g/>
/
König	w2322
<g/>
/
Königl	w2324
<g/>
.
Cuirassier	w2326
<g/>
/
Königl	w2328
<g/>
.
Cravatten	w2330
<g/>
/
Dauphin	w2332
<g/>
,
Bretag-ne	w2334
<g/>
-
<g/>
,
Berry	w2337
<g/>
,
Graf	w2339
Clermont	w2340
<g/>
,
Lambesc	w2342
<g/>
,
St	w2344
<g/>
.
Simon	w2346
<g/>
/
Gesvres	w2348
<g/>
,
Roschefoucoult	w2350
<g/>
,
</p>
<p id="p27">
Brion	w2354
<g/>
,
la	w2356
Motte	w2357
Houdancorts	w2358
<g/>
,
la	w2360
Fe-ronnahe	w2361
<g/>
-
<g/>
,
Chepy	w2364
<g/>
,
Cosse	w2366
<g/>
,
Russe	w2368
<g/>
,
wel=che	w2370
<g/>
=
zusammen	w2372
58	w2373
<g/>
.
Esquadrons	w2375
machen	w2376
<g/>
.
</p>
<p id="p28">
Das	w2378
an	w2379
der	w2380
Saone	w2381
unter	w2382
Comman=do	w2383
<g/>
=
des	w2385
Hertzogen	w2386
von	w2387
Levi	w2388
zu	w2389
stehen	w2390
kommende	w2391
Feld	w2392
<g/>
=
Lager	w2394
zu	w2395
Pferd	w2396
wird	w2397
aus	w2398
folgenden	w2399
19	w2400
<g/>
.
Regimenteren	w2402
beste=hen	w2403
<g/>
=
<g/>
:
General	w2406
<g/>
=
Commissarius	w2408
Köni=glich	w2409
<g/>
=
<g/>
/
Königlich	w2412
Piedmont	w2413
<g/>
,
Auslän=disch	w2415
<g/>
=
Dauphin	w2417
<g/>
,
Anjou	w2419
<g/>
,
Conde	w2421
<g/>
,
du	w2423
Maine	w2424
<g/>
,
du	w2426
Chalas	w2427
<g/>
,
Villars	w2429
<g/>
,
Luynes	w2431
Cayeux	w2432
<g/>
,
Turenne	w2434
<g/>
,
Vaudvay	w2436
<g/>
,
Peyre	w2438
Aumont	w2439
<g/>
,
Lorges	w2441
<g/>
,
Levy	w2443
<g/>
,
du	w2445
Luc	w2446
<g/>
,
Noailles	w2448
<g/>
,
welche	w2450
zusammen	w2451
57	w2452
<g/>
.
Esqua-drons	w2454
<g/>
-
machen	w2456
<g/>
.
</p>
<p id="p29">
Der	w2458
Cardinal	w2459
de	w2460
Bissy	w2461
ist	w2462
verreiset	w2463
den	w2464
7den	w2465
<g/>
/
und	w2467
der	w2468
Cardinal	w2469
de	w2470
Rohan	w2471
den	w2472
8ten	w2473
dieses	w2474
Monats	w2475
nach	w2476
Rom	w2477
<g/>
/
um	w2479
al=da	w2480
<g/>
=
den	w2482
Conclavi	w2483
<g/>
,
oder	w2485
der	w2486
Wahl	w2487
eines	w2488
neuen	w2489
Papsts	w2490
beyzuwohnen	w2491
<g/>
.
Der	w2493
an	w2494
dem	w2495
Königl	w2496
<g/>
.
Spanischen	w2498
Hof	w2499
anwesen=de	w2500
<g/>
=
Frantzösische	w2502
Bottschafter	w2503
<g/>
/
Marquis	w2505
de	w2506
Brancas	w2507
<g/>
,
ist	w2509
von	w2510
Jhrer	w2511
Catholischen	w2512
Majestät	w2513
zum	w2514
Grand	w2515
<g/>
,
oder	w2517
Grossen	w2518
von	w2519
Spanien	w2520
ernennet	w2521
worden	w2522
<g/>
.
Den	w2524
2ten	w2525
Dieses	w2526
iste	w2527
der	w2528
junge	w2529
Buchhändler	w2530
von	w2531
Rouen	w2532
<g/>
,
welcher	w2534
<g/>
/
wie	w2536
jüngst	w2537
erwehnt	w2538
<g/>
/
Schriften	w2540
wider	w2541
die	w2542
Constitution	w2543
in	w2544
dem	w2545
Publico	w2546
ausgetheilet	w2547
<g/>
/
auf	w2549
dem	w2550
Greve	w2551
<g/>
-
Platz	w2553
an	w2554
den	w2555
Pranger	w2556
gestellet	w2557
worden	w2558
<g/>
.
Sonsten	w2560
höret	w2561
man	w2562
alhier	w2563
<g/>
/
daß	w2565
Joseph	w2566
Franciscus	w2567
Ancerune	w2568
<g/>
,
Hertzog	w2570
von	w2571
Ca-derousse	w2572
<g/>
-
<g/>
,
seines	w2575
Alters	w2576
85	w2577
<g/>
.
Jahr	w2579
<g/>
/
in	w2581
der	w2582
Nacht	w2583
zwischen	w2584
dem	w2585
27	w2586
<g/>
.
und	w2588
28sten	w2589
des	w2590
verwichenen	w2591
Monats	w2592
alhier	w2593
gestor=ben	w2594
<g/>
=
seye	w2596
<g/>
.
</p>
<p id="p30">
Wien	w2598
22	w2599
<g/>
.
Martii	w2601
<g/>
.
1730	w2603
<g/>
.
</p>
<p id="p31">
SAmstag	w2605
<g/>
/
den	w2607
18den	w2608
Martin	w2609
<g/>
/
be=liebte	w2611
<g/>
=
es	w2613
dem	w2614
Allerhöchsten	w2615
Monar=chen	w2616
<g/>
=
Sich	w2618
vor	w2619
<g/>
=
Mittag	w2621
nach	w2622
der	w2623
Maria=nischen	w2624
<g/>
=
Gnaden	w2626
<g/>
=
Kirche	w2628
Maria	w2629
<g/>
=
Hie=tzing	w2631
<g/>
=
zu	w2633
verfügen	w2634
<g/>
/
alda	w2636
Dero	w2637
Andacht	w2638
</p>
<p id="p32">
zu	w2639
verrichten	w2640
<g/>
/
sodann	w2642
wieder	w2643
anhero	w2644
zu=ruk	w2645
<g/>
=
zu	w2647
kehren	w2648
<g/>
/
und	w2650
dem	w2651
geheimen	w2652
Raht	w2653
in	w2654
Allerhöchster	w2655
Person	w2656
beyzuwohnen	w2657
<g/>
.
</p>
<p id="p33">
Sonntag	w2659
<g/>
/
den	w2661
19den	w2662
Dito	w2663
<g/>
/
als	w2665
am	w2666
hohen	w2667
Fest	w2668
des	w2669
Heil	w2670
<g/>
.
Josephi	w2672
<g/>
,
Patriar=chen	w2674
<g/>
=
<g/>
/
und	w2677
Pfleg	w2678
<g/>
=
Vatters	w2680
Christi	w2681
<g/>
/
woh=nete	w2683
<g/>
=
der	w2685
Regierende	w2686
Kaiserl	w2687
<g/>
.
Hof	w2689
der	w2690
Predig	w2691
<g/>
/
und	w2693
Hohen	w2694
Amt	w2695
in	w2696
der	w2697
grossen	w2698
Hof	w2699
<g/>
=
Capellen	w2701
bey	w2702
<g/>
.
Des	w2704
nach	w2705
<g/>
=
Mit=tags	w2707
<g/>
=
begaben	w2709
Sich	w2710
beede	w2711
Regierende	w2712
Kaiserl	w2713
<g/>
.
Majestäten	w2715
<g/>
/
samt	w2717
denen	w2718
Durchl	w2719
<g/>
.
Ertz	w2721
<g/>
=
Hertzoginnen	w2723
<g/>
/
mit	w2725
dem	w2726
gewöhn=lichen	w2727
<g/>
=
Gefolg	w2729
<g/>
/
zu	w2731
denen	w2732
WW	w2733
<g/>
.
EE	w2735
<g/>
.
Closter	w2737
<g/>
=
Frauen	w2739
zu	w2740
St	w2741
<g/>
.
Joseph	w2743
<g/>
/
Car=meliter	w2745
<g/>
=
<g/>
=
Barfüsser	w2748
<g/>
=
Ordens	w2750
<g/>
/
sonsten	w2752
zu	w2753
denen	w2754
Sieben	w2755
<g/>
=
Büchern	w2757
genannt	w2758
<g/>
/
und	w2760
wohneten	w2761
alda	w2762
der	w2763
jährlichen	w2764
Procession	w2765
zu	w2766
der	w2767
Saulen	w2768
auf	w2769
dem	w2770
Hohen	w2771
<g/>
=
Markt	w2773
bey	w2774
<g/>
.
</p>
<p id="p34">
Montags	w2776
<g/>
/
den	w2778
20sten	w2779
Dito	w2780
<g/>
/
haben	w2782
Allerhöchst	w2783
<g/>
=
gedacht	w2785
Jhre	w2786
Kaiserl	w2787
<g/>
.
Ca=thol	w2789
<g/>
=
<g/>
.
Majestät	w2792
vor	w2793
<g/>
=
Mittag	w2795
in	w2796
Gegen=wart	w2797
<g/>
=
Dero	w2799
Allerhöchsten	w2800
Person	w2801
anwie=derum	w2802
<g/>
=
geheimen	w2804
Raht	w2805
gehalten	w2806
<g/>
/
und	w2808
Abends	w2809
Allergnädigste	w2810
Audientzen	w2811
er=theilet	w2812
<g/>
=
<g/>
.
</p>
<p id="p35">
Dito	w2815
verrichtete	w2816
die	w2817
Durchl	w2818
<g/>
.
Leopoldi=nische	w2820
<g/>
=
Ertz	w2822
<g/>
=
Hertzogin	w2824
Maria	w2825
Magdalena	w2826
Dero	w2827
Andacht	w2828
vor	w2829
dem	w2830
Marianischen	w2831
Gnaden	w2832
<g/>
=
Bild	w2834
zu	w2835
Lantzendorf	w2836
<g/>
/
kehrete	w2838
sodann	w2839
wieder	w2840
anhero	w2841
zuruk	w2842
<g/>
/
wohnete	w2844
dem	w2845
40stündigen	w2846
Gebett	w2847
bey	w2848
in	w2849
der	w2850
Kir=chen	w2851
<g/>
=
des	w2853
Königl	w2854
<g/>
.
Closters	w2856
S	w2857
<g/>
.
Claræ Clarae	w2859
-	w2860
Or=dens	w2861
<g/>
=
<g/>
/
und	w2864
speisete	w2865
in	w2866
demselben	w2867
Closter	w2868
<g/>
.
</p>
<p id="p36">
Dienstag	w2870
<g/>
/
den	w2872
21sten	w2873
Dito	w2874
<g/>
/
begaben	w2876
Sich	w2877
vor	w2878
<g/>
=
Mittag	w2880
Jhre	w2881
Kaiserl	w2882
<g/>
.
Cathol	w2884
<g/>
.
Majestät	w2886
in	w2887
Begleitung	w2888
deren	w2889
Herren	w2890
Bottschaftern	w2891
<g/>
/
und	w2893
anderes	w2894
gewöhnli=chen	w2895
<g/>
=
Gefolgs	w2897
vor	w2898
die	w2899
Stadt	w2900
in	w2901
das	w2902
Clo=ster	w2903
<g/>
=
von	w2905
Montserrat	w2906
<g/>
,
S	w2908
<g/>
.
Benedicti	w2910
-	w2911
Or=dens	w2912
<g/>
=
<g/>
/
und	w2915
pflegten	w2916
alda	w2917
Dero	w2918
Andacht	w2919
wegen	w2920
des	w2921
Fests	w2922
des	w2923
Heil	w2924
<g/>
.
Benedicti	w2926
Abends	w2927
ertheileten	w2928
Seine	w2929
Majestät	w2930
Al=lergnädigste	w2931
<g/>
=
Audientzen	w2933
<g/>
.
</p>
<p id="p37">
Don DonDonnerstag	w2935
<g/>
=
</p>
<p id="p38">
Donnerstag	w2937
nach	w2938
<g/>
=
Mittag	w2940
endigte	w2941
sich	w2942
die	w2943
Ziehung	w2944
der	w2945
alhiesigen	w2946
Privilegirt	w2947
Orientali- schen	w2948
<g/>
-
Compagnie	w2950
80sten	w2951
Lotterie	w2952
<g/>
,
so	w2954
verwi=chenen	w2955
<g/>
=
Montag	w2957
ihren	w2958
Anfang	w2959
genommen	w2960
hat=te	w2961
<g/>
=
<g/>
:
die	w2964
grossen	w2965
Gewinne	w2966
davon	w2967
seynd	w2968
auf	w2969
fol=gende	w2970
<g/>
=
Numern	w2972
gezogen	w2973
worden	w2974
<g/>
.
</p>
<head id="hl13">
Montag	w2976
<g/>
/
den	w2978
13den	w2979
Martii	w2980
<g/>
.
</head>
<list id="">
2000	w2982
<g/>
.
fl	w2984
<g/>
.
auf	w2986
N	w2987
<g/>
.
79352	w2989
<g/>
.
D	w2991
<g/>
.
Tandem	w2993
sit	w2994
surculus	w2995
<g/>
,
&c	w2997
<g/>
.
2000	w2999
<g/>
.
fl	w3001
auf	w3002
N	w3003
<g/>
.
33368	w3005
<g/>
.
D	w3007
<g/>
.
Die	w3009
Schönheit	w3010
<g/>
.
20000	w3012
<g/>
.
fl	w3014
auf	w3015
N	w3016
<g/>
.
8952	w3018
<g/>
.
D	w3020
<g/>
.
Es	w3022
kan	w3023
nicht	w3024
besser	w3025
seyn	w3026
<g/>
.
2000	w3028
<g/>
.
fl	w3030
auf	w3031
N	w3032
<g/>
.
99835	w3034
<g/>
.
D	w3036
<g/>
.
Par	w3038
la	w3039
fortune	w3040
<g/>
,
&c	w3042
<g/>
.
10000	w3044
<g/>
.
fl	w3046
<g/>
.
auf	w3048
N	w3049
<g/>
.
85587	w3051
<g/>
.
D	w3053
<g/>
.
Fortuna	w3055
per	w3056
me	w3057
<g/>
.
2000	w3059
<g/>
.
fl	w3061
<g/>
.
auf	w3063
N	w3064
<g/>
.
46213	w3066
<g/>
.
D	w3068
<g/>
.
Die	w3070
Emsigkeit	w3071
<g/>
.
</list>
<head id="hl14">
Dienstag	w3073
<g/>
/
den	w3075
14den	w3076
Martii	w3077
<g/>
.
</head>
<list id="">
5000	w3079
<g/>
.
fl	w3081
auf	w3082
N	w3083
<g/>
.
25012	w3085
<g/>
.
D	w3087
<g/>
.
Silentio	w3089
<g/>
&
Spe	w3091
<g/>
.
2000	w3093
<g/>
.
fl	w3095
auf	w3096
N	w3097
<g/>
.
12102	w3099
<g/>
.
D	w3101
<g/>
.
Und	w3103
das	w3104
Glük	w3105
<g/>
.
2000	w3107
<g/>
.
fl	w3109
<g/>
.
auf	w3111
N	w3112
<g/>
.
81371	w3114
<g/>
.
D	w3116
<g/>
.
Tandem	w3118
sit	w3119
surculus	w3120
<g/>
,
&c	w3122
<g/>
.
5ooo	w3124
<g/>
.
fl	w3126
<g/>
.
auf	w3128
N	w3129
<g/>
.
18956	w3131
<g/>
.
D	w3133
<g/>
.
Col	w3135
tempo	w3136
<g/>
,
e	w3138
la	w3139
paglia	w3140
<g/>
,
&c	w3142
<g/>
.
10000	w3144
<g/>
.
fl	w3146
auf	w3147
N	w3148
<g/>
.
94520	w3150
<g/>
.
D	w3152
<g/>
.
Schlechtes	w3154
Rischio	w3155
<g/>
.
40000	w3157
<g/>
.
fl	w3159
<g/>
.
auf	w3161
N	w3162
<g/>
.
78561	w3164
<g/>
.
D	w3166
<g/>
.
Si	w3168
nihil	w3169
attuleris	w3170
<g/>
.
5000	w3172
<g/>
.
fl	w3174
<g/>
.
auf	w3176
N	w3177
<g/>
.
22413	w3179
<g/>
.
D	w3181
<g/>
.
Breßlau	w3183
<g/>
.
2000	w3185
<g/>
.
fl	w3187
<g/>
.
auf	w3189
N	w3190
<g/>
.
14137	w3192
<g/>
.
D	w3194
<g/>
.
Constantia	w3196
<g/>
&
Fortitudine	w3198
<g/>
.
2000	w3200
<g/>
.
fl	w3202
<g/>
.
auf	w3204
N	w3205
<g/>
.
12025	w3207
<g/>
.
D	w3209
<g/>
.
Gut	w3211
Glük	w3212
<g/>
.
2000	w3214
<g/>
.
fl	w3216
auf	w3217
N	w3218
<g/>
.
41231	w3220
<g/>
.
D	w3222
<g/>
.
Die	w3224
Geduld	w3225
<g/>
.
5000	w3227
<g/>
.
fl	w3229
<g/>
.
auf	w3231
N	w3232
<g/>
.
91509	w3234
<g/>
.
D	w3236
<g/>
.
Es	w3238
muß	w3239
einmal	w3240
glücken	w3241
<g/>
.
</list>
<head id="hl15">
Mittwoch	w3243
<g/>
/
den	w3245
15den	w3246
Martii	w3247
<g/>
.
</head>
<list id="">
2000	w3249
<g/>
.
fl	w3251
<g/>
.
auf	w3253
N	w3254
<g/>
.
12874	w3256
<g/>
.
D	w3258
<g/>
.
Un	w3260
seul	w3261
me	w3262
suffit	w3263
<g/>
.
5000	w3265
<g/>
.
fl	w3267
<g/>
.
auf	w3269
N	w3270
<g/>
.
39883	w3272
<g/>
.
D	w3274
<g/>
.
Mit	w3276
Anhalten	w3277
und	w3278
Hoffen	w3279
<g/>
/
ꝛc	w3281
<g/>
.
5000	w3283
<g/>
.
fl	w3285
<g/>
.
auf	w3287
N	w3288
<g/>
.
91713	w3290
<g/>
.
D	w3292
<g/>
.
Constantinus	w3294
Magnus	w3295
<g/>
.
2000	w3297
<g/>
.
fl	w3299
<g/>
.
auf	w3301
N	w3302
<g/>
.
2731	w3304
<g/>
.
D	w3306
<g/>
.
Che	w3308
viva	w3309
la	w3310
Fortuna	w3311
<g/>
.
5000	w3313
<g/>
.
fl	w3315
<g/>
.
auf	w3317
N	w3318
<g/>
.
6590	w3320
<g/>
.
D	w3322
<g/>
.
Constantia	w3324
<g/>
&
Fortitudine	w3326
<g/>
.
2000	w3328
<g/>
.
fl	w3330
<g/>
.
auf	w3332
N	w3333
<g/>
.
67574	w3335
<g/>
.
D	w3337
<g/>
.
Quid	w3339
tibi	w3340
vis	w3341
<g/>
?
2000	w3343
<g/>
.
fl	w3345
<g/>
.
auf	w3347
N	w3348
<g/>
.
33258	w3350
<g/>
.
D	w3352
<g/>
.
G	w3354
<g/>
.
V	w3356
<g/>
.
</list>
<head id="hl16">
Donnerstag	w3358
<g/>
/
den	w3360
16den	w3361
Martii	w3362
<g/>
.
</head>
<list id="">
10000	w3364
<g/>
.
fl	w3366
<g/>
.
auf	w3368
N	w3369
<g/>
.
58828	w3371
<g/>
.
D	w3373
<g/>
.
Fidel	w3375
<g/>
&
constant	w3377
<g/>
.
B	w3379
<g/>
.
V	w3381
<g/>
.
D	w3383
<g/>
.
5000	w3385
<g/>
.
fl	w3387
<g/>
.
auf	w3389
N	w3390
<g/>
.
70000	w3392
<g/>
.
D	w3394
<g/>
.
Constantia	w3396
<g/>
&
Vigilantia	w3398
<g/>
.
2000	w3400
<g/>
.
fl	w3402
<g/>
.
auf	w3404
N	w3405
<g/>
.
52225	w3407
<g/>
.
D	w3409
<g/>
.
Die	w3411
Emsigkeit	w3412
<g/>
.
2000	w3414
<g/>
.
fl	w3416
<g/>
.
auf	w3418
N	w3419
<g/>
.
15576	w3421
<g/>
.
D	w3423
<g/>
.
Constantia	w3425
<g/>
&
Fortitudine	w3427
<g/>
.
5000	w3429
<g/>
.
fl	w3431
<g/>
.
auf	w3433
N	w3434
<g/>
.
62953	w3436
<g/>
.
D	w3438
<g/>
.
Das	w3440
ist	w3441
ein	w3442
guter	w3443
Schuß	w3444
<g/>
.
</list>
<head id="hl17">
Lista	w3446
deren	w3447
Verstorbenen	w3448
zu	w3449
Wien	w3450
<g/>
/
in	w3452
und	w3453
vor	w3454
der	w3455
Stadt	w3456
<g/>
.
</head>
<head id="hl18">
Den	w3458
18	w3459
<g/>
.
Martii	w3461
1730	w3462
<g/>
.
</head>
<head id="hl19">
Jn	w3464
der	w3465
Stadt	w3466
</head>
<list id="">
Herr	w3467
Philipp	w3468
Jacob	w3469
Schwendimann	w3470
<g/>
/
Med	w3472
<g/>
.
Doct	w3474
<g/>
.
<g/>
,
bey	w3477
dem	w3478
Klee	w3479
<g/>
=
Blat	w3481
<g/>
/
bey	w3483
dem	w3484
schönen	w3485
Brunn	w3486
<g/>
/
alt	w3488
34	w3489
<g/>
.
J	w3491
<g/>
.
Dem	w3493
Herrn	w3494
Johann	w3495
Michael	w3496
Lederer	w3497
<g/>
/
Kaiserl	w3499
<g/>
.
Bancal	w3501
<g/>
.
Cammeral	w3503
-Buchhalterey	w3504
<g/>
=
Rait	w3506
<g/>
=
Officiern	w3508
<g/>
/
s	w3510
<g/>
.
K	w3512
<g/>
.
Pe=ter	w3514
<g/>
=
<g/>
/
in	w3517
sein	w3518
Haus	w3519
<g/>
/
im	w3521
Tieffen	w3522
<g/>
=
Graben	w3524
<g/>
/
alt	w3526
7	w3527
<g/>
.
J	w3529
<g/>
.
Herr	w3531
Leopold	w3532
Pachner	w3533
<g/>
/
Kaiserl	w3535
<g/>
.
Hof	w3537
<g/>
=
Krieges	w3539
<g/>
=
Buch=halteren	w3541
<g/>
=
<g/>
=
Accessist	w3544
<g/>
,
in	w3546
dem	w3547
Closter	w3548
<g/>
=
Haus	w3550
<g/>
/
bey	w3552
St	w3553
<g/>
.
Joseph	w3555
<g/>
/
alt	w3557
28	w3558
<g/>
.
J	w3560
<g/>
.
Herr	w3562
Niclas	w3563
Salier	w3564
<g/>
/
Burgerl	w3566
<g/>
.
Handels	w3568
<g/>
=
Mann	w3570
<g/>
/
im	w3572
Gundel	w3573
<g/>
=
Hof	w3575
<g/>
/
alt	w3577
63	w3578
<g/>
.
J	w3580
<g/>
.
Tobias	w3582
Retzer	w3583
<g/>
/
gewester	w3585
Hof	w3586
<g/>
=
befreveter	w3588
Handels	w3589
<g/>
=
Mann	w3591
<g/>
/
in	w3593
dem	w3594
Fruhewirtischen	w3595
Haus	w3596
<g/>
/
auf	w3598
der	w3599
Fischer	w3600
<g/>
=
Stiegen	w3602
<g/>
/
alt	w3604
36	w3605
<g/>
.
J	w3607
<g/>
.
</list>
<list id="">
Dem	w3609
Johann	w3610
Reitz	w3611
<g/>
/
Kaiserl	w3613
<g/>
.
Trabanten	w3615
<g/>
/
und	w3617
Burgern	w3618
<g/>
/
s	w3620
<g/>
.
