<doc id="edoc_wd_1773-11-13" attrs="word" year="1773" month="11" day="13" corpus="1">
<head id="hl1">
Lißabon	w29
restitutionis	w3999
in	w4000
integrum	w4001
<g/>
.
</p>
<p id="p91">
8	w4003
<g/>
)
Samuel	w4005
Wertheimer	w4006
contra	w4007
Gaffaux	w4008
<g/>
,
ap-pellationis	w4010
<g/>
-
<g/>
.
</p>
<p id="p92">
9	w4013
<g/>
)
Scheffer	w4015
modo	w4016
deren	w4017
Erben	w4018
contra	w4019
den	w4020
Herrn	w4021
Bischofen	w4022
zu	w4023
Speyer	w4024
<g/>
,
mandati	w4026
puncto	w4027
debiti	w4028
<g/>
.
</p>
<p id="p93">
10	w4030
<g/>
)
v	w4032
<g/>
.
Rathgeb	w4034
contra	w4035
Mehling	w4036
modo	w4037
O=beger	w4038
<g/>
=
contra	w4040
v	w4041
<g/>
.
Rathgeb	w4043
<g/>
,
appellat	w4045
<g/>
.
modo	w4047
In-terventaonis	w4048
<g/>
-
<g/>
.
</p>
<p id="p94">
11	w4051
<g/>
)
Flacho	w4053
contra	w4054
Poth	w4055
<g/>
,
appellat	w4057
<g/>
.
</p>
<p id="p95">
12	w4059
<g/>
)
zu	w4061
Frankfurt	w4062
im	w4063
Monat	w4064
stehende	w4065
Bau=meister	w4066
<g/>
=
gemeiner	w4068
Judenschaft	w4069
contra	w4070
den	w4071
Magi=stat	w4072
<g/>
=
daselbst	w4074
<g/>
,
appellat	w4076
<g/>
.
puncto	w4078
des	w4079
Brandwein=handels	w4080
<g/>
=
<g/>
.
</p>
<p id="p96">
13	w4083
<g/>
)
zu	w4085
Frankfurt	w4086
Peruquenmacherinnung	w4087
con-tra	w4088
<g/>
-
Kolepp	w4090
<g/>
,
appellat	w4092
<g/>
.
</p>
<p id="p97">
14	w4094
<g/>
)
zu	w4096
Frankfurt	w4097
Priorin	w4098
und	w4099
Convent	w4100
des	w4101
Klosters	w4102
zum	w4103
Rosenberg	w4104
contra	w4105
den	w4106
Magistrat	w4107
daselbst	w4108
<g/>
,
appellat	w4110
<g/>
.
1mæ1mae	w4112
<g/>
.
</p>
<p id="p98">
15	w4114
<g/>
)
Jdem	w4116
appellat	w4117
<g/>
.
2dæ2dae	w4119
<g/>
.
</p>
<p id="p99">
16	w4121
<g/>
)
zu	w4123
Heilbronn	w4124
und	w4125
St	w4126
<g/>
.
Ulrich	w4128
Gemeinden	w4129
contra	w4130
die	w4131
Besitzere	w4132
des	w4133
Schaafhofes	w4134
zu	w4135
Metzeis=berg	w4136
<g/>
=
<g/>
,
appellat	w4139
<g/>
.
</p>
<p id="p100">
17	w4141
<g/>
)
Zorn	w4143
von	w4144
Plobsheim	w4145
contra	w4146
v	w4147
<g/>
.
Gemmin=gen	w4149
<g/>
=
<g/>
,
rescripti	w4152
puncto	w4153
debiti	w4154
<g/>
.
</p>
<p id="p101">
18	w4156
<g/>
)
Reichserbtruchseß	w4158
Graf	w4159
zu	w4160
Wolfegg	w4161
<g/>
=
Wolf=egg	w4163
<g/>
=
contra	w4165
den	w4166
Grafen	w4167
zu	w4168
Salm	w4169
<g/>
=
Reiferscheid	w4171
und	w4172
Opek	w4173
<g/>
,
Citat	w4175
<g/>
.
</p>
<p id="p102">
19	w4177
<g/>
)
Wurster	w4179
v	w4180
<g/>
.
Creuzberg	w4182
Freyherrn	w4183
Renitenz	w4184
und	w4185
Verweigerung	w4186
der	w4187
ordinari	w4188
Collecten	w4189
von	w4190
Fri=ckenhochstätt	w4191
<g/>
=
betreffend	w4193
<g/>
.
</p>
<p id="p103">
20	w4195
<g/>
)
de	w4197
Malaspina	w4198
Marchio	w4199
Conradus	w4200
con-tra	w4201
<g/>
-
Marchionem	w4203
Malaspina	w4204
de	w4205
Pozzolo	w4206
<g/>
,
Citat	w4208
<g/>
.
</p>
<p id="p104">
21	w4210
<g/>
)
Idem	w4212
codtra	w4213
Principem	w4214
Centurionum	w4215
<g/>
,
Citationis	w4217
<g/>
.
</p>
<p id="p105">
22	w4219
<g/>
)
Idem	w4221
contra	w4222
Marchionem	w4223
Pallavicini	w4224
<g/>
.
Citationis	w4226
<g/>
.
</p>
<p id="p106">
23	w4228
<g/>
)
Robinot	w4230
contra	w4231
Pieroon	w4232
<g/>
,
appeilation	w4234
<g/>
.
nunc	w4236
restitutionis	w4237
in	w4238
integrum	w4239
<g/>
.
</p>
<head id="hl16">
Verzeichniß	w4241
der	w4242
Verstorbenen	w4243
zu	w4244
Wien	w4245
</head>
<head id="hl17">
in	w4246
und	w4247
vor	w4248
der	w4249
Stadt	w4250
<g/>
.
</head>
<head id="hl18">
Den	w4252
7	w4253
<g/>
.
Wintermon	w4255
<g/>
.
Jn	w4257
der	w4258
Stadt	w4259
<g/>
.
</head>
<list id="">
Anna	w4261
M	w4262
<g/>
.
Petraschin	w4264
<g/>
,
hinterlass	w4266
<g/>
.
burgl	w4268
<g/>
.
Tischlerm	w4270
<g/>
.
seel	w4272
<g/>
.
Tocht	w4274
<g/>
.
vom	w4276
Markt	w4277
hohen	w4278
Ruperstorf	w4279
<g/>
,
Nro	w4281
<g/>
.
293	w4283
<g/>
.
auf	w4285
der	w4286
hoh	w4287
<g/>
.
Brucke	w4289
<g/>
,
alt	w4291
70	w4292
<g/>
.
J	w4294
<g/>
.
</list>
<list id="">
Georg	w4296
Kritzky	w4297
<g/>
,
burgl	w4299
<g/>
.
Posament	w4301
<g/>
.
alt	w4303
67	w4304
<g/>
.
J	w4306
<g/>
.
in	w4308
Burgerspitlal	w4309
<g/>
.
</list>
<head id="hl19">
Vor	w4311
der	w4312
Stadt	w4313
<g/>
.
</head>
<list id="">
Math	w4315
<g/>
.
Frepsinger	w4317
<g/>
.
Nottenschreib	w4319
<g/>
.
Nro	w4321
<g/>
.
196	w4323
<g/>
.
am	w4325
Oberneust	w4326
<g/>
.
alt	w4328
28	w4329
<g/>
.
J	w4331
<g/>
.
Ant	w4333
<g/>
.
Finck	w4335
<g/>
,
Schuster	w4337
<g/>
,
Nro	w4339
<g/>
.
237	w4341
<g/>
.
am	w4343
Oberneustift	w4344
<g/>
,
alt	w4346
75	w4347
<g/>
.
J	w4349
<g/>
.
Dem	w4351
Jos	w4352
<g/>
.
Aigner	w4354
<g/>
,
Schulmeist	w4356
<g/>
.
s	w4358
<g/>
.
W	w4360
<g/>
.
Ther	w4362
<g/>
.
Nro	w4364
<g/>
.
15	w4366
<g/>
.
zu	w4368
St	w4369
<g/>
.
Ulrich	w4371
<g/>
,
alt	w4373
51	w4374
<g/>
.
J	w4376
<g/>
.
Dem	w4378
Math	w4379
<g/>
.
Schober	w4381
<g/>
,
Schlosser	w4383
<g/>
,
s	w4385
<g/>
.
K	w4387
<g/>
.
Jos	w4389
<g/>
.
Nro	w4391
<g/>
.
31	w4393
<g/>
.
am	w4395
Neustift	w4396
alt	w4397
3	w4398
<g/>
.
J	w4400
<g/>
.
Dem	w4402
Math	w4403
<g/>
.
Spannagl	w4405
<g/>
,
schutzv	w4407
<g/>
.
Schust	w4409
<g/>
.
s	w4411
<g/>
.
Kind	w4413
Math	w4414
<g/>
.
Nro	w4416
<g/>
.
152	w4418
am	w4419
Neubau	w4420
alt	w4421
3	w4422
<g/>
.
J	w4424
<g/>
.
Dem	w4426
Georg	w4427
Schiffer	w4428
<g/>
,
Schust	w4430
<g/>
.
s	w4432
<g/>
.
K	w4434
<g/>
.
Cacilia	w4436
<g/>
,
Nro	w4438
<g/>
.
5	w4440
am	w4441
Magdalenagr	w4442
alt	w4443
4	w4444
<g/>
.
J	w4446
<g/>
.
Eva	w4448
M	w4449
<g/>
.
Hadingerin	w4451
<g/>
,
Bruderschaftansag	w4453
<g/>
.
Wit	w4455
<g/>
.
Nr	w4457
<g/>
.
17	w4459
<g/>
.
zu	w4461
St	w4462
<g/>
.
Ulrich	w4464
<g/>
,
alt	w4466
55	w4467
<g/>
.
J	w4469
<g/>
.
Barb	w4471
<g/>
.
Schreiberin	w4473
<g/>
,
led	w4475
<g/>
.
Dienstm	w4477
<g/>
.
Nro	w4479
<g/>
.
275	w4481
<g/>
.
auf	w4483
der	w4484
Wied	w4485
<g/>
.
alt	w4487
17	w4488
<g/>
.
J	w4490
<g/>
.
Eva	w4492
Lerchin	w4493
<g/>
,
Wit	w4495
<g/>
.
alt	w4497
88	w4498
<g/>
.
J	w4500
<g/>
.
im	w4502
langen	w4503
Keller	w4504
<g/>
.
Rosina	w4506
Holzingerin	w4507
<g/>
,
alt	w4509
73	w4510
<g/>
.
J	w4512
<g/>
.
Ursula	w4514
Riedtnüllerin	w4515
<g/>
,
alt	w4517
74	w4518
<g/>
.
J	w4520
<g/>
.
beede	w4522
Wit	w4523
<g/>
.
im	w4525
ge	w4526
<g/>
.
Armenhaus	w4528
<g/>
.
Math	w4530
<g/>
.
Dieß	w4532
<g/>
,
alt	w4534
7	w4535
<g/>
.
J	w4537
<g/>
.
in	w4539
St	w4540
<g/>
.
Marx	w4542
<g/>
.
Summa	w4544
14	w4545
<g/>
.
Personen	w4547
<g/>
,
darunter	w4549
4	w4550
<g/>
.
Kind	w4552
<g/>
.
</list>
<head id="hl20">
Den	w4554
8	w4555
<g/>
.
Wintermon	w4557
<g/>
.
Jn	w4559
der	w4560
Stadt	w4561
<g/>
.
</head>
<list id="">
Der	w4563
wohlehrw	w4564
<g/>
.
P	w4566
<g/>
.
Don	w4568
Sigismund	w4569
Wöber	w4570
<g/>
,
im	w4572
Collegio	w4573
bey	w4574
St	w4575
<g/>
.
Michael	w4577
<g/>
,
alt	w4579
33	w4580
<g/>
.
J	w4582
<g/>
.
Der	w4584
ehrw	w4585
<g/>
.
Fr	w4587
Frorian	w4588
Wohlmuth	w4589
<g/>
.
Franciscanerord	w4591
<g/>
.
in	w4593
ihr	w4594
<g/>
.
Klost	w4596
<g/>
.
bey	w4598
St	w4599
<g/>
.
Hieron	w4601
<g/>
.
alt	w4603
47	w4604
<g/>
.
J	w4606
<g/>
.
Georg	w4608
Rausch	w4609
<g/>
,
k	w4611
<g/>
.
k	w4613
<g/>
.
Extralichtkammertrag	w4615
<g/>
.
Nro	w4617
<g/>
.
671	w4619
<g/>
,
am	w4621
roth	w4622
<g/>
.
Thurm	w4624
<g/>
,
alt	w4626
48	w4627
<g/>
.
J	w4629
<g/>
.
Anna	w4631
Carh	w4632
<g/>
.
Scholzin	w4634
<g/>
,
Correpetitors	w4636
Wit	w4637
<g/>
.
im	w4639
Op=rotheehof	w4640
<g/>
=
<g/>
,
alt	w4643
80	w4644
<g/>
.
J	w4646
<g/>
.
</list>
<head id="hl21">
Vor	w4648
der	w4649
Stadt	w4650
<g/>
.
</head>
<list id="">
Dem	w4652
wohledl	w4653
<g/>
.
Hrn	w4655
<g/>
.
Joh	w4657
<g/>
.
Conrad	w4659
Steinebach	w4660
<g/>
,
k	w4662
<g/>
.
k	w4664
<g/>
.
Hoflammer	w4666
Raitoffic	w4667
<g/>
.
s	w4669
<g/>
.
K	w4671
<g/>
.
Francisca	w4673
<g/>
,
Nro	w4675
<g/>
.
16	w4677
<g/>
.
in	w4679
der	w4680
Leopoldst	w4681
<g/>
.
alt	w4683
2	w4684
<g/>
.
J	w4686
<g/>
.
Dem	w4688
Joh	w4689
<g/>
.
Karl	w4691
Hofer	w4692
<g/>
,
burgl	w4694
<g/>
.
Posament	w4696
<g/>
.
s	w4698
<g/>
.
K	w4700
<g/>
.
Re=gina	w4702
<g/>
=
<g/>
,
Nro	w4705
<g/>
.
120	w4707
am	w4708
Neubau	w4709
<g/>
,
alt	w4711
5	w4712
<g/>
.
J	w4714
<g/>
.
Eü	w4716
Molitschin	w4717
<g/>
,
burgl	w4719
<g/>
.
Käß	w4721
<g/>
=
und	w4723
Wurstmach	w4724
<g/>
.
Wit	w4726
<g/>
.
Nro	w4728
<g/>
.
190	w4730
<g/>
.
am	w4732
Oberneust	w4733
<g/>
.
alt	w4735
73	w4736
<g/>
.
J	w4738
<g/>
.
Der	w4740
Anna	w4741
M	w4742
<g/>
.
Barlitschin	w4744
<g/>
,
gew	w4746
<g/>
.
burgl	w4748
<g/>
.
Backenm	w4750
<g/>
.
Wit	w4752
<g/>
.
ihr	w4754
Tocht	w4755
<g/>
.
Ther	w4757
<g/>
.
Nr	w4759
<g/>
.
61	w4761
<g/>
.
in	w4763
der	w4764
Roßan	w4765
<g/>
,
alt	w4767
26	w4768
<g/>
.
J	w4770
<g/>
.
Dem	w4772
Phil	w4773
<g/>
.
Seiol	w4775
<g/>
,
Schuster	w4777
<g/>
,
s	w4779
<g/>
.
W	w4781
<g/>
.
Anna	w4783
M	w4784
<g/>
.
Nro	w4786
<g/>
.
52	w4788
<g/>
.
im	w4790
alten	w4791
Lerchenf	w4792
<g/>
.
alt	w4794
49	w4795
<g/>
.
J	w4797
<g/>
.
Dem	w4799
Barth	w4800
<g/>
.
Brunnebner	w4802
<g/>
,
Schlossergs	w4804
<g/>
.
s	w4806
<g/>
.
K	w4808
<g/>
.
Barth	w4810
<g/>
.
Nro	w4812
<g/>
.
41	w4814
<g/>
.
zu	w4816
Mariah	w4817
<g/>
.
alt	w4819
2	w4820
<g/>
.
J	w4822
<g/>
.
Jos	w4824
<g/>
.
Greisler	w4826
<g/>
,
Tagl	w4828
<g/>
.
Nro	w4830
<g/>
.
79	w4832
<g/>
.
am	w4834
Türp	w4835
<g/>
,
alt	w4837
68	w4838
<g/>
.
J	w4840
<g/>
.
Franz	w4842
Posch	w4843
<g/>
,
gimmerm	w4845
<g/>
.
und	w4847
Hausmeist	w4848
alt	w4849
42	w4850
<g/>
.
J	w4852
<g/>
.
Der	w4854
wohlehrw	w4855
<g/>
.
Hr	w4857
<g/>
.
Andre	w4859
Glawaisch	w4860
<g/>
,
weltl	w4862
<g/>
.
Priest	w4864
<g/>
.
alt	w4866
35	w4867
<g/>
.
J	w4869
<g/>
.
beede	w4871
b	w4872
<g/>
.
Barmherz	w4874
<g/>
.
Susanna	w4876
Hirschbergerin	w4877
<g/>
,
Wit	w4879
<g/>
.
alt	w4881
53	w4882
<g/>
.
J	w4884
<g/>
.
v	w4886
<g/>
.
Elisa=bethinnerinnen	w4888
<g/>
=
<g/>
.
Magd	w4891
<g/>
.
Openriererin	w4893
<g/>
,
verh	w4895
<g/>
.
Tagl	w4897
<g/>
.
alt	w4899
26	w4900
<g/>
.
J	w4902
<g/>
.
</list>
<list id="">
M	w4904
<g/>
.
Anna	w4906
Heiplin	w4907
<g/>
,
led	w4909
M	w4910
<g/>
.
alt	w4912
40	w4913
<g/>
.
J	w4915
<g/>
.
beede	w4917
im	w4918
Bä=ckenbäusel	w4919
<g/>
=
<g/>
.
Joh	w4922
<g/>
.
Erth	w4924
<g/>
,
Gefrept	w4926
<g/>
.
alt	w4928
49	w4929
<g/>
.
J	w4931
<g/>
.
im	w4933
Militärspitt	w4934
<g/>
.
zu	w4936
Gumpend	w4937
<g/>
.
Summa	w4939
17	w4940
<g/>
.
Person	w4942
<g/>
.
darunt	w4944
<g/>
.
3	w4946
<g/>
.
Kind	w4948
<g/>
.
</list>
<head id="hl22">
Den	w4950
9	w4951
Wintermon	w4952
<g/>
.
Jn	w4954
der	w4955
Stadt	w4956
<g/>
.
</head>
<list id="">
Eva	w4958
Cath	w4959
<g/>
.
Kampmüllnerin	w4961
<g/>
,
gew	w4963
<g/>
.
burgl	w4965
<g/>
.
Bäckenm	w4967
<g/>
.
Wit	w4969
<g/>
.
in	w4971
ihr	w4972
<g/>
.
H	w4974
<g/>
.
Nro	w4976
<g/>
.
895	w4978
<g/>
.
in	w4980
der	w4981
Singerstrasse	w4982
<g/>
,
alt	w4984
74	w4985
<g/>
.
J	w4987
<g/>
.
Susanna	w4989
Ottin	w4990
<g/>
,
gew	w4992
<g/>
.
burgl	w4994
<g/>
.
Fütterers	w4996
Wit	w4997
<g/>
.
Nro	w4999
<g/>
.
75t	w5001
<g/>
.
am	w5003
Lichtensteg	w5004
<g/>
,
alt	w5006
76	w5007
<g/>
.
J	w5009
<g/>
.
</list>
<head id="hl23">
Vor	w5011
der	w5012
Stadt	w5013
<g/>
.
</head>
<list id="">
Joh	w5015
<g/>
.
Georg	w5017
Kronowetter	w5018
<g/>
,
burgl	w5020
<g/>
.
Tischlermeist	w5022
<g/>
.
N	w5024
<g/>
.
154	w5026
<g/>
.
auster	w5028
Mariah	w5029
<g/>
.
alt	w5031
54	w5032
<g/>
.
J	w5034
<g/>
.
Dem	w5036
Mich	w5037
<g/>
.
Schmeisel	w5039
<g/>
,
Schneid	w5041
<g/>
.
s	w5043
<g/>
.
K	w5045
<g/>
.
Thomas	w5047
<g/>
,
Nro	w5049
<g/>
.
16	w5051
<g/>
.
auf	w5053
der	w5054
Wied	w5055
<g/>
.
alt	w5057
3	w5058
<g/>
.
J	w5060
<g/>
.
Cath	w5062
<g/>
.
Fehlmolerin	w5064
<g/>
.
gew	w5066
<g/>
.
Kutscherswit	w5068
<g/>
.
Nro	w5070
<g/>
.
17	w5072
<g/>
.
zu	w5074
St	w5075
Ulrich	w5076
<g/>
,
alt	w5078
60	w5079
<g/>
.
J	w5081
<g/>
.
Elisab	w5083
<g/>
.
Martnerin	w5085
<g/>
,
Lehenkutscherswit	w5087
<g/>
.
Nro	w5089
<g/>
.
13	w5091
<g/>
.
am	w5093
Himmelpfgr	w5094
<g/>
.
alt	w5096
73	w5097
<g/>
.
J	w5099
<g/>
.
Dem	w5101
Joh	w5102
<g/>
.
Wicke	w5104
<g/>
,
Hausinhab	w5106
<g/>
.
s	w5108
<g/>
.
K	w5110
<g/>
.
Jos	w5112
<g/>
.
Nro	w5114
<g/>
.
|48	w5116
<g/>
.
am	w5118
Tury	w5119
<g/>
,
alt	w5121
6	w5122
<g/>
.
J	w5124
<g/>
.
Rauseber	w5126
vac	w5127
Lebzeltergs	w5128
alt	w5129
20	w5130
<g/>
.
J	w5132
<g/>
.
b	w5134
<g/>
.
Barmh	w5136
<g/>
.
Ther	w5138
<g/>
.
Fehringerin	w5140
<g/>
,
Wit	w5142
<g/>
.
alt	w5144
<g/>
/
0	w5146
<g/>
.
J	w5148
<g/>
.
Magd	w5150
<g/>
.
Schablin	w5152
<g/>
,
led	w5154
<g/>
.
alt	w5156
28	w5157
<g/>
.
J	w5159
beede	w5160
im	w5161
Contum	w5162
<g/>
.
Eilisab	w5164
Ganzerin	w5165
Schneid	w5166
<g/>
.
Weib	w5168
<g/>
,
alt	w5170
45	w5171
<g/>
.
J	w5173
<g/>
.
Oreh	w5175
Groisch	w5176
<g/>
,
Maurerleyrj	w5178
<g/>
.
alt	w5180
18	w5181
<g/>
.
J	w5183
<g/>
.
beede	w5185
im	w5186
Bäckenh	w5187
<g/>
.
Fri	w5189
dr	w5190
<g/>
.
Gottwald	w5192
<g/>
,
Leinwebergs	w5194
<g/>
.
alt	w5196
24	w5197
<g/>
.
J	w5199
<g/>
.
in	w5201
St	w5202
<g/>
.
Marx	w5204
Summa	w5205
13	w5206
<g/>
.
Personen	w5208
<g/>
,
darunter	w5210
2	w5211
<g/>
.
Kind	w5213
<g/>
.
</list>
<head id="hl24">
D	w5215
en	w5216
10	w5217
Wint	w5218
ermon	w5219
<g/>
.
Jn	w5221
der	w5222
Stadt	w5223
<g/>
.
</head>
<list id="">
Der	w5225
wohlehrw	w5226
<g/>
.
Hr	w5228
<g/>
.
Franz	w5230
Xav	w5231
<g/>
.
Schobinger	w5233
<g/>
,
weltl	w5235
<g/>
.
Priest	w5237
<g/>
.
Nro	w5239
<g/>
.
200	w5241
am	w5242
Stephansfreyth	w5243
<g/>
.
alt	w5245
52	w5246
<g/>
.
J	w5248
<g/>
.
Leop	w5250
<g/>
.
Demmer	w5252
<g/>
,
Thurmwacht	w5254
bey	w5255
St	w5256
<g/>
.
Steph	w5258
<g/>
.
Nr	w5260
<g/>
.
857	w5262
<g/>
.
am	w5264
St	w5265
Stephansfreyth	w5266
<g/>
.
alt	w5268
77	w5269
<g/>
.
J	w5271
<g/>
.
</list>
<head id="hl25">
Vor	w5273
der	w5274
Stadt	w5275
<g/>
.
</head>
<list id="">
Dem	w5277
Jof	w5278
<g/>
.
Zofick	w5280
<g/>
,
k	w5282
<g/>
.
k	w5284
Postillion	w5285
<g/>
,
s	w5287
<g/>
.
W	w5289
<g/>
.
Justina	w5291
<g/>
,
Nro	w5293
<g/>
.
1	w5295
<g/>
.
auf	w5297
der	w5298
Laimgrube	w5299
<g/>
,
alt	w5301
48	w5302
<g/>
.
J	w5304
<g/>
.
Dem	w5306
Andre	w5307
Kelp	w5308
<g/>
.
Friseur	w5310
<g/>
,
s	w5312
<g/>
.
W	w5314
<g/>
.
Josepha	w5316
<g/>
,
Nro	w5318
<g/>
.
331	w5320
<g/>
.
in	w5322
der	w5323
Leopst	w5324
<g/>
.
alt	w5326
24	w5327
<g/>
.
J	w5329
<g/>
.
Dem	w5331
Joh	w5332
<g/>
.
Georg	w5334
Würz	w5335
<g/>
,
herrsch	w5337
<g/>
.
Wagenmeist	w5339
<g/>
.
s	w5341
<g/>
.
K	w5343
<g/>
.
M	w5345
<g/>
.
Anna	w5347
<g/>
,
Nro	w5349
<g/>
.
45	w5351
<g/>
.
in	w5353
der	w5354
Ungarg	w5355
<g/>
.
alt	w5357
2	w5358
<g/>
.
J	w5360
<g/>
.
Dem	w5362
Jof	w5363
<g/>
.
Laberneck	w5365
<g/>
,
Schust	w5367
s	w5368
<g/>
.
Sohn	w5370
Franz	w5371
<g/>
,
Nro	w5373
<g/>
.
53	w5375
<g/>
.
am	w5377
Himmelpfortgr	w5378
<g/>
.
alt	w5380
17	w5381
<g/>
.
J	w5383
<g/>
.
Sebast	w5385
Hiebel	w5386
<g/>
,
alt	w5388
78	w5389
<g/>
.
J	w5391
<g/>
.
Franrisca	w5393
Oehlingerin	w5394
<g/>
.
Wit	w5396
<g/>
.
alt	w5398
67	w5399
<g/>
.
J	w5401
<g/>
.
beede	w5403
im	w5404
grossen	w5405
Armenh	w5406
<g/>
.
Wolfg	w5408
<g/>
.
Wegleutner	w5410
<g/>
,
alt	w5412
70	w5413
<g/>
.
J	w5415
<g/>
.
Christina	w5417
Magalin	w5418
<g/>
,
Wit	w5420
<g/>
.
alt	w5422
76	w5423
<g/>
.
J	w5425
<g/>
.
beede	w5427
im	w5428
Cont	w5429
<g/>
.
Ama	w5431
M	w5432
<g/>
.
Krammerin	w5434
<g/>
,
led	w5436
<g/>
.
M	w5438
<g/>
.
alt	w5440
40	w5441
<g/>
.
J	w5443
<g/>
.
Ther	w5445
<g/>
.
Riedlerin	w5447
<g/>
,
verh	w5449
<g/>
.
Tagl	w5451
<g/>
.
alt	w5453
32	w5454
<g/>
.
J	w5456
<g/>
.
Joh	w5458
<g/>
.
Georg	w5460
Wagner	w5461
<g/>
,
Tagt	w5463
<g/>
.
alt	w5465
64	w5466
<g/>
.
J	w5468
<g/>
.
Brigitta	w5470
Bergauerin	w5471
<g/>
,
led	w5473
<g/>
.
M	w5475
<g/>
.
alt	w5477
16	w5478
<g/>
.
J	w5480
<g/>
.
alle	w5482
4	w5483
<g/>
.
im	w5485
Bäckenh	w5486
<g/>
.
Summa	w5488
14	w5489
<g/>
.
Person	w5491
<g/>
.
darunter	w5493
1	w5494
<g/>
.
Kind	w5496
<g/>
.
</list>
<head id="hl26">
Nachricht	w5498
<g/>
.
</head>
<p id="p107">
Es	w5500
ist	w5501
dem	w5502
gesammten	w5503
Publico	w5504
schon	w5505
un=längst	w5506
<g/>
=
bekannt	w5508
gemacht	w5509
worben	w5510
<g/>
,
das	w5512
die	w5513
schon	w5514
so	w5515
lange	w5516
gewünschte	w5517
neue	w5518
reine	w5519
Ver=zinnung	w5520
<g/>
=
des	w5522
Kupfers	w5523
<g/>
=
auf	w5525
Allerhöchsten	w5526
Be=fehl	w5527
<g/>
=
allgemein	w5529
eingeleitet	w5530
worden	w5531
sey	w5532
<g/>
,
da	w5534
nun	w5535
die	w5536
hiesige	w5537
burgerl	w5538
<g/>
.
Kupferschmide	w5540
<g/>
,
ächte	w5542
Proben	w5543
davon	w5544
in	w5545
Obrigkeitlicher	w5546
Ge=genwart	w5547
<g/>
=
dargethan	w5549
haben	w5550
<g/>
,
mithin	w5552
sie	w5553
jezo	w5554
<g/>
,
und	w5556
sernerfort	w5557
alle	w5558
ihre	w5559
kupferne	w5560
Geschie=re	w5561
<g/>
=
<g/>
,
ohne	w5564
einigen	w5565
Bleyzusatz	w5566
<g/>
,
ohne	w5568
Salmi=ac	w5569
<g/>
=
<g/>
,
und	w5572
überhaupt	w5573
ohne	w5574
andere	w5575
<g/>
,
der	w5577
Ge=sundheit	w5578
<g/>
=
schädliche	w5580
Beymischung	w5581
einiger	w5582
gif=tigen	w5583
<g/>
=
<g/>
,
oder	w5586
auch	w5587
nur	w5588
gleichgültigen	w5589
Minera=lien	w5590
<g/>
=
<g/>
,
dauerhaft	w5593
<g/>
,
und	w5595
der	w5596
Gesundheit	w5597
ganz	w5598
unschädlich	w5599
verzinnen	w5600
<g/>
,
zugleich	w5602
auch	w5603
nicht	w5604
mehr	w5605
für	w5606
diese	w5607
reine	w5608
Verzinnung	w5609
<g/>
,
als	w5611
6	w5612
kr	w5613
<g/>
.
von	w5615
Pf	w5616
<g/>
.
verlangen	w5618
<g/>
,
ungeachtet	w5620
diese	w5621
neue	w5622
Verzinnungsart	w5623
kostbarer	w5624
als	w5625
die	w5626
vormalige	w5627
ist	w5628
<g/>
,
als	w5630
wird	w5631
dieses	w5632
dem	w5633
Publico	w5634
erinnert	w5635
<g/>
,
und	w5637
zugleich	w5638
von	w5639
den	w5640
bemeldten	w5641
Kupferschmi=den	w5642
<g/>
=
versichert	w5644
<g/>
,
das	w5646
sie	w5647
dem	w5648
Allerhöchst	w5649
er=laßenen	w5650
<g/>
=
Patent	w5652
zufolge	w5653
mit	w5654
reinen	w5655
laute=ren	w5656
<g/>
=
innländischen	w5658
Zinne	w5659
verzinnen	w5660
<g/>
,
und	w5662
je=dermann	w5663
<g/>
=
auf	w5665
das	w5666
eilfertigste	w5667
<g/>
,
und	w5669
dauer=hafteste	w5670
<g/>
=
bedienen	w5672
<g/>
,
auch	w5674
die	w5675
alte	w5676
<g/>
,
nach	w5678
wvormaliger	w5679
Art	w5680
<g/>
,
verzinnte	w5682
Kupfergeschir=re	w5683
<g/>
=
<g/>
,
von	w5686
dem	w5687
schädlichen	w5688
Unraihe	w5689
reinigen	w5690
werden	w5691
<g/>
.
</p>
<p id="p108">
Bey	w5693
dem	w5694
Verleger	w5695
des	w5696
wienerischen	w5697
Dia=riums	w5698
<g/>
=
ist	w5700
zu	w5701
haben	w5702
<g/>
:
</p>
<p id="p109">
Auserlesene	w5704
Andachtsübungen	w5705
zur	w5706
heiligen	w5707
Communion	w5708
<g/>
,
des	w5710
P	w5711
<g/>
.
Heinrich	w5713
Griffet	w5714
v	w5715
<g/>
.
d	w5717
<g/>
.
G	w5719
J	w5720
<g/>
.
Sr	w5722
<g/>
.
allerchistl	w5724
<g/>
.
Majestät	w5726
ehewali=gen	w5727
<g/>
=
Hofpredigers	w5729
<g/>
.
Aus	w5731
dem	w5732
Französ	w5733
<g/>
.
über=setzt	w5735
<g/>
=
<g/>
.
gebund	w5738
in	w5739
Franzb	w5740
<g/>
.
1	w5742
fl	w5743
<g/>
.
8	w5745
kr	w5746
<g/>
.
</p>
<p id="p110">
Päbstliches	w5748
Breve	w5749
<g/>
,
die	w5751
Aufhebung	w5752
des	w5753
Jesuiterordens	w5754
betreffend	w5755
<g/>
;
deutsch	w5757
oder	w5758
la=teinisch	w5759
<g/>
=
<g/>
,
jedes	w5762
Stück	w5763
für	w5764
10	w5765
kr	w5766
<g/>
.
</p>
<head id="hl27">
Nachricht	w5768
<g/>
.
</head>
<p id="p111">
Es	w5770
