<doc id="edoc_wd_1766-04-09" attrs="word" year="1766" month="04" day="09" corpus="1">
<head id="hl1">
Staatssachen	w49
zugleich	w1852
geklaget	w1853
werden	w1854
mag	w1855
<g/>
,
fallen	w1857
lassen	w1858
<g/>
,
und	w1860
solches	w1861
ad	w1862
Acta	w1863
anzeigen	w1864
würde	w1865
<g/>
,
die	w1867
Versicherung	w1868
erhalten	w1869
<g/>
,
daß	w1871
durch	w1872
verordnete	w1873
Commissarien	w1874
diese	w1875
An=gelegenheit	w1876
<g/>
=
auf	w1878
die	w1879
kürtzeste	w1880
Weise	w1881
abgethan	w1882
<g/>
,
solche	w1884
auch	w1885
behörig	w1886
angezeigt	w1887
werden	w1888
würde	w1889
<g/>
.
Gleichwohl	w1891
sey	w1892
unterm	w1893
20	w1894
<g/>
.
Decemb	w1896
<g/>
.
1764	w1898
<g/>
.
die	w1900
Sentenz	w1901
dahin	w1902
publiciret	w1903
worden	w1904
<g/>
,
daß	w1906
die	w1907
eingewandten	w1908
exceptiones	w1909
Fori	w1910
declinatoriæ declinatoriae	w1911
zu	w1912
verwerfen	w1913
<g/>
,
und	w1915
dahero	w1916
allerseits	w1917
Herren	w1918
Beklagte	w1919
innerhalb	w1920
2	w1921
<g/>
.
Monate	w1923
in	w1924
der	w1925
Haupt=sache	w1926
<g/>
=
sich	w1928
einzulassen	w1929
und	w1930
zu	w1931
handeln	w1932
schuldig	w1933
seyn	w1934
<g/>
.
</p>
<p id="p22">
Höchsigemeldeten	w1936
Hrn	w1937
<g/>
.
Herzogs	w1939
Durchl	w1940
<g/>
.
er=suchen	w1942
<g/>
=
demnach	w1944
die	w1945
höchsten	w1946
und	w1947
hohen	w1948
Reichs=stände	w1949
<g/>
=
<g/>
,
und	w1952
empfehlen	w1953
den	w1954
hier	w1955
versammelten	w1956
Comitialgesandschaften	w1957
dieses	w1958
Anligen	w1959
zur	w1960
günstigen	w1961
Berichtserstattung	w1962
<g/>
,
damit	w1964
durch	w1965
ein	w1966
Reichsgutachten	w1967
an	w1968
Kaiserl	w1969
<g/>
.
Majestät	w1971
alles	w1972
vom	w1973
Reichscammergerichte	w1974
vorgenommene	w1975
ab=gethan	w1976
<g/>
=
<g/>
,
und	w1979
dasselbe	w1980
dahin	w1981
angewiesen	w1982
werde	w1983
<g/>
,
den	w1985
Hrn	w1986
<g/>
.
Grafen	w1988
von	w1989
Sayn	w1990
lediglich	w1991
ad	w1992
Forum	w1993
primæ primae	w1994
instantiæ instantiae	w1995
gegen	w1996
die	w1997
Unterthanen	w1998
des	w1999
Fürstenthums	w2000
Nassaudillenburg	w2001
zu	w2002
verweisen	w2003
<g/>
.
</p>
<p id="p23">
Am	w2005
vergangenen	w2006
Donnerstag	w2007
hat	w2008
der	w2009
hol=ländische	w2010
<g/>
=
gevollmächtigte	w2012
Minister	w2013
<g/>
,
Hr	w2015
<g/>
.
von	w2017
</p>
<p id="p24">
Galleris	w2018
<g/>
,
die	w2020
Jnstallation	w2021
des	w2022
Durchl	w2023
<g/>
.
Prinzen	w2025
von	w2026
Oranien	w2027
zur	w2028
Statthalterschaft	w2029
<g/>
;
Frey=tags	w2031
<g/>
=
aber	w2033
der	w2034
königl	w2035
<g/>
.
französische	w2037
bevollmäch=tigte	w2038
<g/>
=
Minister	w2040
Freyherr	w2041
v	w2042
<g/>
.
Buat	w2044
<g/>
,
den	w2046
Todes=fall	w2047
<g/>
=
des	w2049
Königs	w2050
Stanislai	w2051
von	w2052
Pohlen	w2053
<g/>
,
durch	w2055
ihres	w2056
beyderseitigen	w2057
Gesandschaftsecretairs	w2058
<g/>
,
den	w2060
Comitialgesandschaften	w2061
notificirten	w2062
lassen	w2063
<g/>
,
worauf	w2065
beyden	w2066
Ministern	w2067
die	w2068
wechselseitige	w2069
Gratulations	w2070
<g/>
=
und	w2072
Condolenzcomplimente	w2073
durch	w2074
die	w2075
Gesandschaftssecretarios	w2076
abgestattet	w2077
wur=den	w2078
<g/>
=
<g/>
.
</p>
<p id="p25">
Bey	w2081
dem	w2082
freytägigen	w2083
Reichsrathe	w2084
sind	w2085
die	w2086
Rathsversammlungen	w2087
<g/>
,
wegen	w2089
der	w2090
Osterwoche	w2091
auf	w2092
14	w2093
<g/>
.
Tage	w2095
ausgesetzt	w2096
worden	w2097
<g/>
.
</p>
<head id="hl6">
Preßburg	w2099
den	w2100
5ten	w2101
April	w2102
<g/>
.
</head>
<p id="p26">
Jhre	w2104
Kaiserl	w2105
<g/>
.
Königl	w2107
<g/>
.
Apost	w2109
<g/>
.
Majest	w2111
<g/>
.
un=sere	w2113
<g/>
=
allergnädigste	w2115
Landesfürstinn	w2116
haben	w2117
erst	w2118
vor	w2119
kurzem	w2120
einen	w2121
neuen	w2122
Beweis	w2123
Jhrer	w2124
müt=terlichen	w2125
<g/>
=
Sorgfalt	w2127
für	w2128
den	w2129
Flor	w2130
<g/>
,
und	w2132
das	w2133
Aufnehmen	w2134
der	w2135
Königl	w2136
<g/>
.
Hungarischen	w2138
Frey=städte	w2139
<g/>
=
an	w2141
den	w2142
Tag	w2143
gegeben	w2144
<g/>
.
Da	w2146
die	w2147
Bevöl=kerung	w2148
<g/>
=
<g/>
,
und	w2151
Vergrößerung	w2152
vieler	w2153
Städte	w2154
durch	w2155
die	w2156
bisher	w2157
üblich	w2158
gewesenen	w2159
Taxen	w2160
des	w2161
Bürger=rechts	w2162
<g/>
=
<g/>
,
und	w2165
der	w2166
Meisterschaft	w2167
<g/>
,
merklich	w2169
gehem=met	w2170
<g/>
=
worden	w2172
<g/>
;
so	w2174
haben	w2175
Jhre	w2176
Majestät	w2177
auch	w2178
die=se	w2179
<g/>
=
Hinderniß	w2181
zu	w2182
heben	w2183
geruhet	w2184
<g/>
,
und	w2186
den	w2187
Be=fehl	w2188
<g/>
=
ertheilet	w2190
<g/>
,
die	w2192
Taxen	w2193
für	w2194
das	w2195
Bürger=recht	w2196
<g/>
=
also	w2198
einzurichten	w2199
<g/>
,
daß	w2201
sie	w2202
bey	w2203
den	w2204
Bür=gerssöhnen	w2205
<g/>
=
die	w2207
Summe	w2208
von	w2209
sechs	w2210
Gulden	w2211
<g/>
,
bey	w2213
den	w2214
Landskindern	w2215
von	w2216
acht	w2217
Gulden	w2218
<g/>
,
und	w2220
bey	w2221
den	w2222
Ausländern	w2223
von	w2224
vier	w2225
Gulden	w2226
nicht	w2227
übersteigen	w2228
sollen	w2229
<g/>
.
Jn	w2231
solchen	w2232
Städten	w2233
aber	w2234
<g/>
,
wo	w2236
man	w2237
gewisse	w2238
Künstler	w2239
und	w2240
Handwerker	w2241
noch	w2242
immer	w2243
vermisset	w2244
<g/>
,
oder	w2246
ihrer	w2247
in	w2248
größerer	w2249
Anzahl	w2250
benöthiget	w2251
ist	w2252
<g/>
,
soll	w2254
auch	w2255
den	w2256
Aus=ländern	w2257
<g/>
=
<g/>
,
die	w2260
sich	w2261
dort	w2262
als	w2263
solche	w2264
niederzu=lassen	w2265
<g/>
=
willens	w2267
sind	w2268
<g/>
,
das	w2270
Bürgerrecht	w2271
sowohl	w2272
<g/>
,
als	w2274
die	w2275
Meisterschaft	w2276
ohne	w2277
alles	w2278
Entgeld	w2279
<g/>
,
und	w2281
also	w2282
völlig	w2283
umsonst	w2284
gegeben	w2285
<g/>
,
auch	w2287
ihnen	w2288
über=dies	w2289
<g/>
=
drey	w2291
Jahre	w2292
durch	w2293
<g/>
,
alle	w2295
Contributionen	w2296
nachgesehen	w2297
werden	w2298
<g/>
.
</p>
<p id="p27">
Anstatt	w2300
des	w2301
sonst	w2302
gewöhnlichen	w2303
Artikels	w2304
von	w2305
ver=mischten	w2306
<g/>
=
Neuigkeiten	w2308
geben	w2309
wer	w2310
heute	w2311
eine	w2312
Lesens=würdige	w2313
<g/>
=
historische	w2315
Beschreibung	w2316
der	w2317
politischen	w2318
Verfassung	w2319
des	w2320
berühmten	w2321
Freystaats	w2322
der	w2323
verei=tigten	w2324
<g/>
=
Niederlanden	w2326
<g/>
,
und	w2328
der	w2329
Gewalt	w2330
welche	w2331
dem	w2332
Erbstaathalter	w2333
über	w2334
denselben	w2335
zusteht	w2336
<g/>
.
Wir	w2338
schmei=cheln	w2339
<g/>
=
uns	w2341
wenigstens	w2342
einem	w2343
Theil	w2344
unserer	w2345
Leser	w2346
<g/>
,
</p>
<p id="p28">
besonders	w2350
da	w2351
wir	w2352
erst	w2353
kürzlich	w2354
die	w2355
Jnstallations=ceremonien	w2356
<g/>
=
beschrieben	w2358
haben	w2359
<g/>
,
einen	w2361
Gefallen	w2362
da=durch	w2363
<g/>
=
zu	w2365
erweisen	w2366
<g/>
.
</p>
<p id="p29">
Die	w2368
Republick	w2369
der	w2370
vereinigten	w2371
Niederlande	w2372
be=stehet	w2373
<g/>
=
nicht	w2375
sowohl	w2376
aus	w2377
sieben	w2378
vereinigten	w2379
Pro=vinzen	w2380
<g/>
=
<g/>
,
als	w2383
vielmehr	w2384
aus	w2385
eben	w2386
so	w2387
vielen	w2388
be=sonderen	w2389
<g/>
=
Republiken	w2391
<g/>
,
deren	w2393
keine	w2394
von	w2395
der	w2396
an=dern	w2397
<g/>
=
anders	w2399
als	w2400
durch	w2401
das	w2402
zu	w2403
ihrer	w2404
gemeinsamen	w2405
Vertheidigung	w2406
freywillig	w2407
geknüpfte	w2408
Band	w2409
der	w2410
Ver=einigung	w2411
<g/>
=
<g/>
,
abhänget	w2414
<g/>
.
Die	w2416
Veranlassung	w2417
und	w2418
Art	w2419
<g/>
,
wie	w2421
sich	w2422
dieser	w2423
Staat	w2424
dem	w2425
spanischen	w2426
Scepter	w2427
ent=zogen	w2428
<g/>
=
<g/>
,
setzen	w2431
wir	w2432
billig	w2433
als	w2434
bekannt	w2435
voraus	w2436
<g/>
;
im	w2438
Nothfalle	w2439
kan	w2440
man	w2441
sich	w2442
in	w2443
dem	w2444
nächsten	w2445
besten	w2446
historischen	w2447
und	w2448
geographischen	w2449
Handbuche	w2450
Rahts	w2451
erholen	w2452
<g/>
.
</p>
<p id="p30">
Jedwede	w2454
Provinz	w2455
hat	w2456
ihr	w2457
eigenes	w2458
und	w2459
in	w2460
Anse=hung	w2461
<g/>
=
der	w2463
innerlichen	w2464
Verfassung	w2465
<g/>
,
von	w2467
den	w2468
übri=gen	w2469
<g/>
=
ganz	w2471
unabhängiges	w2472
Regiment	w2473
<g/>
,
welches	w2475
alle	w2476
Souveränitätsrechte	w2477
exercirt	w2478
<g/>
,
das	w2480
Recht	w2481
des	w2482
Krie=ges	w2483
<g/>
=
und	w2485
Friedens	w2486
und	w2487
was	w2488
demselben	w2489
anhängig	w2490
ist	w2491
<g/>
,
ausgenommen	w2493
welches	w2494
die	w2495
sämmtlichen	w2496
Pro=vinzen	w2497
<g/>
=
denen	w2499
im	w2500
Haag	w2501
versammelten	w2502
Generalstaa=ten	w2503
<g/>
=
überlassen	w2505
haben	w2506
<g/>
.
Jedoch	w2508
ist	w2509
die	w2510
Gewalt	w2511
der	w2512
Provinzen	w2513
wiederum	w2514
solchergestalt	w2515
eingeschränkt	w2516
<g/>
,
daß	w2518
sie	w2519
nichts	w2520
wichtiges	w2521
ohne	w2522
Vorwissen	w2523
und	w2524
Ein=willigung	w2525
<g/>
=
der	w2527
Städte	w2528
thun	w2529
dürfen	w2530
<g/>
.
</p>
<p id="p31">
Die	w2532
Versammlung	w2533
der	w2534
Generalstaaten	w2535
bestehet	w2536
aus	w2537
den	w2538
Abgeordneten	w2539
der	w2540
7	w2541
<g/>
.
Provinzen	w2543
<g/>
,
deren	w2545
jede	w2546
zwar	w2547
so	w2548
viele	w2549
<g/>
,
als	w2551
ihr	w2552
beliebt	w2553
<g/>
,
schicken	w2555
kann	w2556
<g/>
,
die	w2558
aber	w2559
zusammen	w2560
mehr	w2561
nicht	w2562
denn	w2563
eine	w2564
Stimme	w2565
haben	w2566
<g/>
,
daß	w2568
also	w2569
niemals	w2570
mehr	w2571
als	w2572
7	w2573
<g/>
.
Stimmen	w2575
gezehlt	w2576
werden	w2577
<g/>
.
Jn	w2579
dieser	w2580
Versammlung	w2581
führt	w2582
immer	w2583
der	w2584
erste	w2585
Deputirte	w2586
der	w2587
7	w2588
<g/>
.
Provinzen	w2590
von	w2591
einem	w2592
Sonntag	w2593
zum	w2594
andern	w2595
den	w2596
Vositz	w2597
<g/>
,
nach	w2599
dem	w2600
Rang	w2601
den	w2602
die	w2603
Provinzen	w2604
untereinander	w2605
haben	w2606
<g/>
.
Der	w2608
Präsident	w2609
von	w2610
der	w2611
Woche	w2612
giebt	w2613
den	w2614
fremden	w2615
Gesandten	w2616
Audienz	w2617
<g/>
,
eröffnet	w2619
die	w2620
einlauffende	w2621
De=pechen	w2622
<g/>
=
<g/>
,
Memorialien	w2625
und	w2626
Bittschriften	w2627
<g/>
,
trägt	w2629
die	w2630
Angelegenheiten	w2631
der	w2632
Versammlung	w2633
vor	w2634
<g/>
,
sammlet	w2636
die	w2637
Stimmen	w2638
und	w2639
fertigt	w2640
die	w2641
Schlüsse	w2642
aus	w2643
<g/>
.
Die	w2645
Mehrheit	w2646
der	w2647
Stimmen	w2648
gilt	w2649
blos	w2650
<g/>
,
wenn	w2652
von	w2653
schon	w2654
vorhandenen	w2655
Gesetzen	w2656
die	w2657
Rede	w2658
ist	w2659
<g/>
;
wenn	w2661
neue	w2662
eingeführt	w2663
<g/>
,
oder	w2665
Krieg	w2666
<g/>
,
Friede	w2668
und	w2669
Bündnisses	w2670
beschlossen	w2671
werden	w2672
sollen	w2673
<g/>
,
müssen	w2675
alle	w2676
7	w2677
<g/>
.
Stim=den	w2679
<g/>
=
vereinigt	w2681
seyn	w2682
<g/>
;
wiewohl	w2684
auch	w2685
diese	w2686
Regel	w2687
in	w2688
dringenden	w2689
Fällen	w2690
eine	w2691
Ausnahme	w2692
leidet	w2693
<g/>
.
</p>
<p id="p32">
Die	w2695
Generalstaaten	w2696
werden	w2697
Hochmögende	w2698
Her=ren	w2699
<g/>
=
<g/>
,
die	w2702
Glieder	w2703
aller	w2704
folgenden	w2705
Collegiorum	w2706
<g/>
,
wie	w2708
auch	w2709
der	w2710
Versammlungen	w2711
in	w2712
den	w2713
Provinzen	w2714
<g/>
,
aber	w2716
Edelmögende	w2717
Herren	w2718
genennt	w2719
<g/>
.
</p>
<p id="p33">
Von	w2721
dieser	w2722
Versammlung	w2723
der	w2724
Generalstaaten	w2725
ist	w2726
unterschieden	w2727
der	w2728
Staaten	w2729
<g/>
=
oder	w2731
Staatsrath	w2732
<g/>
,
wel=cher	w2734
<g/>
=
aus	w2736
12	w2737
<g/>
.
Deputirten	w2739
der	w2740
7	w2741
<g/>
.
Provinzen	w2743
bestehet	w2744
<g/>
,
nämlich	w2746
1	w2747
<g/>
.
von	w2749
Geldern	w2750
<g/>
,
3	w2752
<g/>
.
von	w2754
Holland	w2755
<g/>
,
2	w2757
<g/>
.
von	w2759
Seeland	w2760
<g/>
,
1	w2762
<g/>
.
von	w2764
Utrecht	w2765
<g/>
,
2	w2767
<g/>
.
von	w2769
Westfriesland	w2770
<g/>
,
1	w2772
<g/>
.
von	w2774
Oberyssel	w2775
und	w2776
2	w2777
<g/>
.
von	w2779
Grönningen	w2780
<g/>
.
</p>
<p id="p34">
Anfänglich	w2782
war	w2783
dieser	w2784
Staatsrath	w2785
das	w2786
einzige	w2787
höchste	w2788
Collegium	w2789
<g/>
;
allein	w2791
nachdem	w2792
die	w2793
Republick	w2794
ihrer	w2795
grösten	w2796
Schützerin	w2797
der	w2798
Königin	w2799
Elisabeth	w2800
von	w2801
</p>
<p id="p35">
England	w2802
unter	w2803
andern	w2804
auch	w2805
das	w2806
Recht	w2807
zugestan=den	w2808
<g/>
=
hatte	w2810
<g/>
,
daß	w2812
der	w2813
Engländische	w2814
Gesandte	w2815
Sitz	w2816
und	w2817
Stimme	w2818
im	w2819
Staatsraths	w2820
haben	w2821
sollte	w2822
<g/>
,
dessen	w2824
Ge=genwart	w2825
<g/>
=
aber	w2827
bald	w2828
beschwerlich	w2829
wurde	w2830
<g/>
;
so	w2832
errichte=ten	w2833
<g/>
=
die	w2835
Provinzen	w2836
unter	w2837
dem	w2838
Vorwand	w2839
<g/>
:
der	w2841
Staats=rath	w2842
<g/>
=
nehme	w2844
sich	w2845
zu	w2846
viel	w2847
Gewalt	w2848
heraus	w2849
<g/>
,
eine	w2851
Ver=sammlung	w2852
<g/>
=
unter	w2854
dem	w2855
Namen	w2856
<g/>
:
Generalstaaten	w2858
<g/>
,
wohin	w2860
die	w2861
geheimsten	w2862
Affairen	w2863
gezogen	w2864
wurden	w2865
<g/>
.
</p>
<p id="p36">
Dieses	w2867
Collegium	w2868
hat	w2869
<g/>
,
insbesondere	w2871
was	w2872
die	w2873
in=nerlichen	w2874
<g/>
=
Angelegenheiten	w2876
anbelanget	w2877
<g/>
,
eine	w2879
gros=se	w2880
<g/>
=
Gewalt	w2882
<g/>
,
und	w2884
kann	w2885
von	w2886
demselben	w2887
nicht	w2888
wei=ter	w2889
<g/>
=
appelliret	w2891
werden	w2892
<g/>
,
obwohl	w2894
die	w2895
Herren	w2896
General=staaten	w2897
<g/>
=
als	w2899
vorderste	w2900
Repräsentanten	w2901
der	w2902
Provin=zen	w2903
<g/>
=
das	w2905
Recht	w2906
haben	w2907
seine	w2908
Bescheide	w2909
<g/>
,
wie	w2911
aller	w2912
an=dern	w2913
<g/>
=
Gerichtshöfe	w2915
ihre	w2916
<g/>
,
zu	w2918
revidiren	w2919
<g/>
.
Es	w2921
cor=respondirt	w2922
<g/>
=
mit	w2924
den	w2925
Generalstaaten	w2926
über	w2927
die	w2928
Ange=legenheiten	w2929
<g/>
=
der	w2931
Republick	w2932
<g/>
,
stellet	w2934
sein	w2935
Gutachten	w2936
an	w2937
dieselben	w2938
<g/>
,
und	w2940
formirt	w2941
die	w2942
sogenannten	w2943
Petitio=nen	w2944
<g/>
=
d	w2946
<g/>
.
i	w2948
<g/>
.
Entwürfe	w2950
desjenigen	w2951
<g/>
,
was	w2953
zum	w2954
Bedürf=fen	w2955
<g/>
=
und	w2957
Nutzen	w2958
des	w2959
Staats	w2960
contribuirt	w2961
werden	w2962
muß	w2963
<g/>
.
Jngleichen	w2965
liegt	w2966
ihm	w2967
die	w2968
Vollziehung	w2969
alles	w2970
dessen	w2971
<g/>
,
was	w2973
von	w2974
den	w2975
Generalstaaten	w2976
beschlossen	w2977
worden	w2978
<g/>
,
ob	w2980
<g/>
.
</p>
<p id="p37">
Kurz	w2982
<g/>
:
Die	w2984
Generalstaaten	w2985
stellen	w2986
den	w2987
Sou=verains	w2988
<g/>
=
vor	w2990
<g/>
,
der	w2992
Staatenrath	w2993
aber	w2994
dessen	w2995
Mini=sterium	w2996
<g/>
=
<g/>
.
</p>
<p id="p38">
Ausser	w2999
diesem	w3000
sind	w3001
noch	w3002
die	w3003
Rechenkammer	w3004
<g/>
,
der	w3006
Finanzrath	w3007
<g/>
,
das	w3009
Admiralitäts	w3010
<g/>
=
und	w3012
Münzcollegium	w3013
nebst	w3014
verschiedenen	w3015
Gerichtshöfen	w3016
<g/>
,
welche	w3018
insge=samt	w3019
<g/>
=
dem	w3021
Staatsrathe	w3022
nachgeordnet	w3023
und	w3024
dessen	w3025
Befehle	w3026
zu	w3027
volziehen	w3028
gehalten	w3029
sind	w3030
<g/>
.
</p>
<p id="p39">
Das	w3032
vornehmste	w3033
Glied	w3034
dieses	w3035
Staatskörpers	w3036
ist	w3037
nun	w3038
der	w3039
Erbstatthalter	w3040
<g/>
,
Generalcapitain	w3042
und	w3043
Ad=miral	w3044
<g/>
=
der	w3046
7	w3047
<g/>
.
vereinigten	w3049
Provinzen	w3050
<g/>
,
und	w3052
es	w3053
sind	w3054
viel=leicht	w3055
<g/>
=
Monarchen	w3057
<g/>
,
die	w3059
in	w3060
ihren	w3061
Königreichen	w3062
weniger	w3063
Ansehen	w3064
und	w3065
Gewalt	w3066
als	w3067
er	w3068
haben	w3069
<g/>
;
deswegen	w3071
auch	w3072
Wilhelm	w3073
III	w3074
<g/>
.
scherzweis	w3076
König	w3077
von	w3078
Holland	w3079
und	w3080
Statthalter	w3081
von	w3082
England	w3083
genennt	w3084
wurde	w3085
<g/>
.
Er	w3087
ist	w3088
das	w3089
Oberhaupt	w3090
von	w3091
allen	w3092
Gerichtshöfen	w3093
<g/>
,
deren	w3095
Urtheile	w3096
in	w3097
seinem	w3098
Namen	w3099
ausgesprochen	w3100
werden	w3101
<g/>
;
er	w3103
besetzt	w3104
alle	w3105
Aemter	w3106
der	w3107
Republick	w3108
<g/>
;
</p>
<p id="p40">
Wohl	w3110
verstanden	w3111
<g/>
:
diejenigen	w3113
Aemter	w3114
und	w3115
Stel=len	w3116
<g/>
=
ausgenommen	w3118
<g/>
,
die	w3120
den	w3121
Souverain	w3122
repräsen=tiren	w3123
<g/>
=
<g/>
,
z	w3126
<g/>
.
E	w3128
<g/>
.
Die	w3130
Deputirten	w3131
zur	w3132
Versammlung	w3133
der	w3134
Generalstaaten	w3135
<g/>
,
die	w3137
Glieder	w3138
des	w3139
Staatsraths	w3140
ꝛc	w3141
<g/>
.
Wiewohl	w3143
auch	w3144
kein	w3145
Bürgermeister	w3146
<g/>
,
Schöpfer	w3148
oder	w3149
Rathsherr	w3150
<g/>
,
als	w3152
die	w3153
Repräsentanten	w3154
der	w3155
Souverä=nität	w3156
<g/>
=
der	w3158
Provinzen	w3159
<g/>
,
ohne	w3161
seine	w3162
Genehmigung	w3163
ge=wählt	w3164
<g/>
=
werden	w3166
können	w3167
<g/>
.
</p>
<p id="p41">
Er	w3169
schlichtet	w3170
alle	w3171
Streitigkeiten	w3172
der	w3173
Provinzen	w3174
und	w3175
Städte	w3176
unter	w3177
einander	w3178
<g/>
,
und	w3180
die	w3181
ganze	w3182
Macht	w3183
der	w3184
Republick	w3185
zu	w3186
Wasser	w3187
und	w3188
zu	w3189
Land	w3190
steht	w3191
in	w3192
sei=nen	w3193
<g/>
=
Händen	w3195
<g/>
,
weil	w3197
er	w3198
alle	w3199
Stellen	w3200
besetzt	w3201
<g/>
;
er	w3203
ist	w3204
zugleich	w3205
das	w3206
Oberhaupt	w3207
der	w3208
Ostindischen	w3209
Compa=gnie	w3210
<g/>
=
<g/>
.
</p>
<p id="p42">
Wilhelm	w3213
IV	w3214
<g/>
.
des	w3216
jetzigen	w3217
Herrn	w3218
Erbstaathalters	w3219
Vater	w3220
<g/>
,
war	w3222
der	w3223
erste	w3224
<g/>
,
der	w3226
im	w3227
Jahr	w3228
1747	w3229
<g/>
.
und	w3231
1748	w3232
<g/>
.
diese	w3234
Würde	w3235
von	w3236
allen	w3237
Provinzen	w3238
erhielte	w3239
und	w3240
erblich	w3241
auf	w3242
seine	w3243
Nachkommenschaft	w3244
beyderley	w3245
</p>
<p id="p43">
Geschlechts	w3246
brachte	w3247
<g/>
.
Denn	w3249
seine	w3250
Vorfahren	w3251
biß	w3252
auf	w3253
Wilhelm	w3254
I	w3255
<g/>
.
den	w3257
Stammvater	w3258
der	w3259
holländi=schen	w3260
<g/>
=
Freyheit	w3262
<g/>
,
befassen	w3264
dieselbe	w3265
nur	w3266
in	w3267
einigen	w3268
Provinzen	w3269
<g/>
,
und	w3271
nicht	w3272
mit	w3273
allen	w3274
Gerechtsamen	w3275
die	w3276
gegenwärtig	w3277
damit	w3278
verknüpfet	w3279
sind	w3280
<g/>
,
worunter	w3282
in=sonderheit	w3283
<g/>
=
die	w3285
Erbfolge	w3286
des	w3287
weiblichen	w3288
Geschlechts	w3289
merkwürdig	w3290
<g/>
,
die	w3292
jedoch	w3293
unter	w3294
dem	w3295
Beding	w3296
er=theilt	w3297
<g/>
=
worden	w3299
<g/>
,
daß	w3301
sich	w3302
keine	w3303
Prinzeßin	w3304
aus	w3305
dem	w3306
Hause	w3307
Oranien	w3308
anders	w3309
als	w3310
mit	w3311
Bewilligung	w3312
der	w3313
Generalstaaten	w3314
<g/>
,
und	w3316
zwar	w3317
an	w3318
keinen	w3319
König	w3320
und	w3321
Churfürsten	w3322
vermählen	w3323
darf	w3324
<g/>
.
</p>
<p id="p44">
<g/>
(
Das	w3327
übrige	w3328
künftig	w3329
<g/>
.
<g/>
)
</p>
<head id="hl7">
Wien	w3332
den	w3333
9	w3334
<g/>
.
April	w3336
1766	w3337
<g/>
.
</head>
<p id="p45">
Samstags	w3339
den	w3340
5ten	w3341
wurden	w3342
über	w3343
die	w3344
Ver=mählung	w3345
<g/>
=
der	w3347
Durchlauchtigsten	w3348
Erzher=zoginn	w3349
<g/>
=
Maria	w3351
Christina	w3352
mit	w3353
dem	w3354
Durchlauch=tigsten	w3355
<g/>
=
Prinzen	w3357
Albert	w3358
von	w3359
Sachsen	w3360
die	w3361
Ehe=pacten	w3362
<g/>
=
von	w3364
den	w3365
dazu	w3366
beyderseits	w3367
bevollmäch=tigten	w3368
<g/>
=
hohen	w3370
Ministern	w3371
<g/>
,
als	w3373
des	w3374
kais	w3375
<g/>
.
und	w3377
kais	w3378
<g/>
.
kön	w3380
<g/>
.
ersten	w3382
Obersten	w3383
Hofmeisters	w3384
Grafen	w3385
v	w3386
<g/>
.
Ul=feld	w3388
<g/>
=
Excellenz	w3390
<g/>
,
des	w3392
kais	w3393
<g/>
.
Reichsvicecanzlers	w3395
<g/>
,
Hrn	w3397
<g/>
.
Fürsten	w3399
von	w3400
Colloredo	w3401
<g/>
,
und	w3403
des	w3404
kais	w3405
<g/>
.
kön	w3407
<g/>
.
Hof	w3409
<g/>
=
und	w3411
Staatscanzlers	w3412
<g/>
,
Hrn	w3414
<g/>
.
Fürsten	w3416
von	w3417
Kaunitz	w3418
<g/>
=
Ritberg	w3420
fürstl	w3421
<g/>
.
Gnaden	w3423
<g/>
:
Sächsischer	w3425
Seits	w3426
aber	w3427
von	w3428
dem	w3429
Hrn	w3430
<g/>
.
Grafen	w3432
Vitzdom	w3433
von	w3434
Eckstätt	w3435
<g/>
,
Chursächsischen	w3437
gevollmächtigten	w3438
Minister	w3439
am	w3440
hiesigen	w3441
Hofe	w3442
<g/>
,
in	w3444
dem	w3445
Hause	w3446
des	w3447
vorgenannten	w3448
ersten	w3449
Hrn	w3450
<g/>
.
Obersten	w3452
Hof=meisters	w3453
<g/>
=
unterzeichnet	w3455
<g/>
,
und	w3457
gegeneinander	w3458
ausgewechselt	w3459
<g/>
.
</p>
<p id="p46">
Sonntag	w3461
den	w3462
6ten	w3463
hat	w3464
der	w3465
Kaiserl	w3466
<g/>
.
Hof	w3468
der	w3469
feyerlichen	w3470
Jahrsbegängniß	w3471
der	w3472
Weihung	w3473
hiesiger	w3474
Erzdomkirche	w3475
bey	w3476
St	w3477
<g/>
.
Stephan	w3479
<g/>
,
und	w3481
dem	w3482
dortigen	w3483
Gottesdienste	w3484
beygewohnet	w3485
<g/>
.
Noch	w3487
vorher	w3488
hatten	w3489
die	w3490
Deputirten	w3491
der	w3492
Kai=serl	w3493
<g/>
=
<g/>
.
und	w3496
des	w3497
Heil	w3498
<g/>
.
Röm	w3500
<g/>
.
Reichs	w3502
freyen	w3503
Stadt	w3504
Hamburg	w3505
<g/>
,
Herr	w3507
Syndicus	w3508
Faber	w3509
<g/>
,
und	w3511
Herr	w3512
Senator	w3513
Wagener	w3514
<g/>
,
welche	w3516
am	w3517
30	w3518
<g/>
.
letztver=wichenen	w3520
<g/>
=
Monats	w3522
März	w3523
dahier	w3524
angelanget	w3525
sind	w3526
<g/>
,
um	w3528
im	w3529
Namen	w3530
vorerwehnter	w3531
Stadt	w3532
bey	w3533
dem	w3534
Kaiserl	w3535
<g/>
.
und	w3537
Kaiserl	w3538
<g/>
.
Königl	w3540
<g/>
.
Hofe	w3542
die	w3543
Beyleides	w3544
<g/>
=
und	w3546
