<doc id="edoc_wd_1726-09-07" attrs="word" year="1726" month="09" day="07" corpus="1">
<head id="hl1">
Copia	w54
und	w1911
in	w1912
zu=ten	w1913
<g/>
=
Stand	w1915
zu	w1916
unterhalten	w1917
<g/>
/
worinnen	w1919
50	w1920
<g/>
.
Schiffe	w1922
stehen	w1923
<g/>
/
und	w1925
sicher	w1926
erhalten	w1927
werden	w1928
können	w1929
<g/>
:
er	w1931
ist	w1932
von	w1933
Seiten	w1934
der	w1935
Stadt	w1936
mit	w1937
Steinen	w1938
bekleidet	w1939
<g/>
/
und	w1941
gegen	w1942
das	w1943
Meer	w1944
mit	w1945
Pfälen	w1946
befestiget	w1947
<g/>
.
zwey	w1949
Schiffe	w1950
können	w1951
von	w1952
vornen	w1953
zugleich	w1954
einlauffen	w1955
<g/>
:
das	w1957
Werk	w1958
ist	w1959
schon	w1960
ziemlich	w1961
weit	w1962
gebracht	w1963
<g/>
/
und	w1965
wird	w1966
noch	w1967
vor	w1968
Ausgang	w1969
dieses	w1970
Jahres	w1971
vollführet	w1972
werden	w1973
<g/>
.
Dieselbe	w1975
Stadt	w1976
lasset	w1977
zu	w1978
einer	w1979
herr=lichen	w1980
<g/>
=
Bezeugung	w1982
ihrer	w1983
Erkäntlichkeit	w1984
gegen	w1985
ihren	w1986
Gubernator	w1987
<g/>
,
so	w1989
ihr	w1990
diesen	w1991
Erlaß	w1992
zu=wege	w1993
<g/>
=
gebracht	w1995
<g/>
/
ihm	w1997
auf	w1998
ihre	w1999
Kosten	w2000
eine	w2001
neue	w2002
Behausung	w2003
erbauen	w2004
<g/>
:
sie	w2006
ist	w2007
nunmehro	w2008
in	w2009
dem	w2010
Stande	w2011
<g/>
/
sich	w2013
zu	w2014
wehren	w2015
<g/>
/
weilen	w2017
ihre	w2018
Befestigungs	w2019
<g/>
=
Werke	w2021
<g/>
/
auf	w2023
das	w2024
fal=sche	w2025
<g/>
=
Geschrey	w2027
<g/>
/
daß	w2029
die	w2030
Engelländischen	w2031
Schif=fe	w2032
<g/>
=
annaheten	w2034
<g/>
/
merklich	w2036
vermehret	w2037
worden	w2038
<g/>
.
</p>
<head id="hl8">
Antwerpen	w2040
19	w2041
<g/>
.
Augusti	w2043
<g/>
.
</head>
<p id="p23">
Die	w2045
700	w2046
<g/>
.
tausend	w2048
Pfund	w2049
Thée	w2050
<g/>
,
so	w2052
zu	w2053
Osten Ostende	w2054
<g/>
=
</p>
<p id="p24">
de	w2059
seynd	w2060
verkauffet	w2061
worden	w2062
<g/>
/
haben	w2064
ohnge=fehr	w2065
<g/>
=
zwey	w2067
Millionen	w2068
Gulden	w2069
ausgetragen	w2070
<g/>
;
den	w2072
geringsten	w2073
<g/>
/
und	w2075
so	w2076
gar	w2077
den	w2078
verdorbenen	w2079
<g/>
/
haben	w2081
sie	w2082
bis	w2083
auf	w2084
50	w2085
Sold	w2086
Wechsel	w2087
<g/>
=
Geld	w2089
<g/>
/
und	w2091
den	w2092
besten	w2093
bis	w2094
auf	w2095
8	w2096
<g/>
.
Gulden	w2098
und	w2099
etliche	w2100
Sold	w2101
angebracht	w2102
<g/>
;
das	w2104
Porcellan	w2105
<g/>
/
dessen	w2107
Verkauf	w2108
auch	w2109
geendiget	w2110
ist	w2111
<g/>
/
ist	w2113
gleichfals	w2114
bis	w2115
auf	w2116
20	w2117
<g/>
.
per	w2119
Cento	w2120
höher	w2121
<g/>
/
als	w2123
in	w2124
dem	w2125
vergangenen	w2126
Verkauf	w2127
<g/>
/
getrieben	w2129
worden	w2130
<g/>
.
Nunmehro	w2132
ist	w2133
man	w2134
in	w2135
Verkauffung	w2136
derer	w2137
Zeu=ge	w2138
<g/>
=
begriffen	w2140
<g/>
.
</p>
<head id="hl9">
Weissenfels	w2142
20	w2143
<g/>
.
Augusti	w2145
<g/>
.
</head>
<p id="p25">
Seine	w2147
Durchl	w2148
<g/>
.
unser	w2150
Fürst	w2151
<g/>
/
hat	w2153
am	w2154
14	w2155
<g/>
.
dieses	w2157
in	w2158
dem	w2159
Schmonischen	w2160
Gehöltz	w2161
<g/>
/
auf	w2163
der	w2164
so	w2165
genannten	w2166
Pucht	w2167
des	w2168
Amts	w2169
Freyburg	w2170
<g/>
/
ein	w2172
bestätigtes	w2173
Jagen	w2174
gehalten	w2175
<g/>
/
darinnen	w2177
sie	w2178
gefangen	w2179
und	w2180
geschossen	w2181
einen	w2182
Hirsch	w2183
von	w2184
12	w2185
<g/>
.
Enden	w2187
<g/>
/
welcher	w2189
gewogen	w2190
8	w2191
<g/>
.
Centner	w2193
<g/>
/
10	w2195
<g/>
.
Pfund	w2197
<g/>
;
auf	w2199
dem	w2200
Zimmer	w2201
ist	w2202
er	w2203
fett	w2204
ge=wesen	w2205
<g/>
=
über	w2207
3	w2208
<g/>
.
Zoll	w2210
<g/>
/
auf	w2212
der	w2213
Brust	w2214
2	w2215
<g/>
.
und	w2217
einen	w2218
halben	w2219
Zoll	w2220
<g/>
/
und	w2222
auf	w2223
denen	w2224
Rippen	w2225
über	w2226
anderthalb	w2227
Zoll	w2228
<g/>
.
Seine	w2230
Länge	w2231
ware	w2232
3	w2233
<g/>
.
Elen	w2235
<g/>
/
3	w2237
<g/>
.
Viertel	w2239
<g/>
/
3	w2241
<g/>
.
Zoll	w2243
<g/>
.
Die	w2245
Höhe	w2246
2	w2247
<g/>
.
Elen	w2249
<g/>
/
2	w2251
<g/>
.
Viertel	w2253
<g/>
;
und	w2255
die	w2256
Dick	w2257
<g/>
/
3	w2259
<g/>
.
Elen	w2261
<g/>
/
2	w2263
<g/>
.
Viertel	w2265
<g/>
/
1	w2267
<g/>
.
Zol	w2269
<g/>
.
</p>
<head id="hl10">
Londen	w2271
21	w2272
<g/>
.
Augusti	w2274
<g/>
.
</head>
<p id="p26">
Am	w2276
Sonntag	w2277
legte	w2278
der	w2279
Hof	w2280
die	w2281
Trauer	w2282
für	w2283
den	w2284
verstorbenen	w2285
Hertzogen	w2286
Maximilian	w2287
von	w2288
Hannover	w2289
auf	w2290
3	w2291
<g/>
.
Monat	w2293
an	w2294
<g/>
/
nemlich	w2296
die	w2297
ersten	w2298
6	w2299
<g/>
.
Wochen	w2301
die	w2302
tieffe	w2303
<g/>
/
und	w2305
die	w2306
6	w2307
<g/>
.
letzten	w2309
die	w2310
kleine	w2311
Trauer	w2312
<g/>
.
Gestern	w2314
Morgen	w2315
zwischen	w2316
11	w2317
<g/>
.
und	w2319
12	w2320
<g/>
.
Uhr	w2322
<g/>
/
hat	w2324
die	w2325
Hertzogin	w2326
von	w2327
Grafton	w2328
dieses	w2329
Zeitliche	w2330
gesegnet	w2331
<g/>
.
Vor=gestern	w2333
<g/>
=
in	w2335
der	w2336
Frühe	w2337
<g/>
/
fande	w2339
man	w2340
in	w2341
der	w2342
Berwik	w2343
<g/>
=
Street	w2345
bey	w2346
der	w2347
Strasse	w2348
Tyburn	w2349
<g/>
/
ein	w2351
Weibs	w2352
<g/>
=
Bild	w2354
<g/>
/
deme	w2356
die	w2357
Haut	w2358
abgezogen	w2359
ware	w2360
<g/>
/
von	w2362
welcher	w2363
man	w2364
muthmasset	w2365
<g/>
/
daß	w2367
es	w2368
das	w2369
jenige	w2370
seye	w2371
<g/>
/
so	w2373
vergangene	w2374
Woche	w2375
ist	w2376
ge=henket	w2377
<g/>
=
worden	w2379
<g/>
.
</p>
<p id="p27">
Die	w2381
17	w2382
<g/>
.
Schiffe	w2384
<g/>
/
welche	w2386
aus	w2387
Grünland	w2388
auf	w2389
der	w2390
Thems	w2391
angelanget	w2392
<g/>
/
haben	w2394
nicht	w2395
mehr	w2396
als	w2397
12	w2398
<g/>
.
Fische	w2400
gefangen	w2401
<g/>
;
das	w2403
Schif	w2404
<g/>
/
so	w2406
man	w2407
vermisset	w2408
<g/>
/
war	w2410
Nord	w2411
<g/>
=
Fortland	w2413
genannt	w2414
<g/>
/
und	w2416
weilen	w2417
von	w2418
solchem	w2419
in	w2420
Grün=land	w2421
<g/>
=
nichts	w2423
vernommen	w2424
worden	w2425
<g/>
/
haltet	w2427
man	w2428
darfür	w2429
<g/>
/
daß	w2431
selbiges	w2432
mit	w2433
allem	w2434
Volk	w2435
werde	w2436
vergangen	w2437
seyn	w2438
<g/>
;
die	w2440
übrigen	w2441
6	w2442
<g/>
.
Grün=lands	w2444
<g/>
=
<g/>
=
Fahrer	w2447
bleiben	w2448
annoch	w2449
auf	w2450
dem	w2451
Fang	w2452
<g/>
/
und	w2454
hat	w2455
einer	w2456
von	w2457
denenselben	w2458
<g/>
/
die	w2460
Indu-stria	w2461
<g/>
-
genannt	w2463
<g/>
/
4	w2465
<g/>
.
Fische	w2467
gefangen	w2468
<g/>
.
Hinge=gen	w2470
<g/>
=
vernimmt	w2472
man	w2473
<g/>
/
daß	w2475
die	w2476
von	w2477
Biscaia	w2478
</p>
<p id="p28">
in	w2479
Spanien	w2480
<g/>
/
das	w2482
beste	w2483
Glük	w2484
<g/>
/
vor	w2486
allen	w2487
Na=tionen	w2488
<g/>
=
<g/>
/
in	w2491
dem	w2492
Wallfisch	w2493
<g/>
=
Fang	w2495
in	w2496
Grün=land	w2497
<g/>
=
gehabt	w2499
haben	w2500
<g/>
/
alwo	w2502
sie	w2503
24	w2504
<g/>
.
Schiffe	w2506
gehalten	w2507
<g/>
/
welche	w2509
66	w2510
Wallfische	w2511
gefangen	w2512
haben	w2513
<g/>
/
welches	w2515
man	w2516
dem	w2517
Fleiß	w2518
der	w2519
darauf	w2520
befindlichen	w2521
Mannschaft	w2522
<g/>
/
welche	w2524
<g/>
/
weil	w2526
sie	w2527
keine	w2528
Besoldung	w2529
hat	w2530
<g/>
/
einen	w2532
gewissen	w2533
Theil	w2534
von	w2535
ihrem	w2536
Fisch	w2537
Fang	w2538
bekommet	w2539
<g/>
/
zueignet	w2541
<g/>
;
auch	w2543
hätten	w2544
andere	w2545
13	w2546
<g/>
.
Schiffe	w2548
von	w2549
Bremen	w2550
10	w2551
<g/>
.
Wallfische	w2553
<g/>
/
und	w2555
einen	w2556
halben	w2557
gefangen	w2558
<g/>
.
</p>
<p id="p29">
Vergangene	w2560
Woche	w2561
wurde	w2562
die	w2563
Land	w2564
<g/>
=
Kut=sche	w2566
<g/>
=
von	w2568
Winchester	w2569
zu	w2570
Smalbury	w2571
Green	w2572
<g/>
/
von	w2574
einem	w2575
Strassen	w2576
<g/>
=
Rauber	w2578
angefallen	w2579
<g/>
/
welcher	w2581
denen	w2582
reisenden	w2583
Leuten	w2584
ohngefähr	w2585
6	w2586
<g/>
.
Pfund	w2588
Sterling	w2589
wehnahme	w2590
<g/>
.
</p>
<p id="p30">
Man	w2592
schreibet	w2593
von	w2594
Worchester	w2595
<g/>
/
von	w2597
dem	w2598
10	w2599
<g/>
.
dieses	w2601
Monats	w2602
<g/>
/
daß	w2604
ein	w2605
Weib	w2606
von	w2607
80	w2608
<g/>
.
Jahren	w2610
<g/>
/
so	w2612
nicht	w2613
wol	w2614
bey	w2615
Sinnen	w2616
gewesen	w2617
<g/>
/
zu	w2619
Prashore	w2620
sich	w2621
erhenket	w2622
habe	w2623
<g/>
;
und	w2625
daß	w2626
ein	w2627
Officier	w2628
von	w2629
halben	w2630
Sold	w2631
<g/>
/
als	w2633
er	w2634
von	w2635
einem	w2636
hitzigen	w2637
Fieber	w2638
übernommen	w2639
gewesen	w2640
<g/>
/
sich	w2642
selbst	w2643
ein	w2644
Messer	w2645
in	w2646
den	w2647
Busen	w2648
gestossen	w2649
<g/>
/
darvon	w2651
er	w2652
straks	w2653
gestorben	w2654
<g/>
.
</p>
<p id="p31">
Mit	w2656
dem	w2657
Schif	w2658
Cato	w2659
<g/>
,
so	w2661
von	w2662
Jamaica	w2663
zu	w2664
Bristol	w2665
angelanget	w2666
<g/>
/
hat	w2668
man	w2669
<g/>
/
daß	w2671
das	w2672
Volk	w2673
von	w2674
dem	w2675
Schiffe	w2676
die	w2677
Elisabeth	w2678
<g/>
/
von	w2680
Bristol	w2681
nach	w2682
Jamaica	w2683
gehend	w2684
<g/>
/
ihren	w2686
Schiffer	w2687
<g/>
/
und	w2689
Unter	w2690
<g/>
=
Steuermann	w2692
umgebracht	w2693
<g/>
/
und	w2695
sich	w2696
auf	w2697
das	w2698
Rauben	w2699
geleget	w2700
hätte	w2701
<g/>
/
wie	w2703
es	w2704
dann	w2705
nachgehends	w2706
das	w2707
Schif	w2708
der	w2709
John	w2710
<g/>
/
und	w2712
Ber=ly	w2713
<g/>
=
erobert	w2715
<g/>
/
und	w2717
geplündert	w2718
<g/>
/
und	w2720
7	w2721
<g/>
.
von	w2723
de=nen	w2724
<g/>
=
Matrosen	w2726
<g/>
/
welche	w2728
30	w2729
<g/>
.
an	w2731
der	w2732
Zahl	w2733
ge=wesen	w2734
<g/>
=
<g/>
/
mit	w2737
<g/>
=
weggenommen	w2739
<g/>
:
man	w2741
füget	w2742
hin=zu	w2743
<g/>
=
<g/>
/
daß	w2746
ein	w2747
Rauber	w2748
<g/>
/
wie	w2750
man	w2751
meinet	w2752
<g/>
/
eben	w2754
derselbe	w2755
<g/>
/
am	w2757
vor	w2758
<g/>
=
Gebürge	w2760
von	w2761
Virginien	w2762
gesehen	w2763
worden	w2764
<g/>
.
Sonsten	w2766
vernimmt	w2767
man	w2768
<g/>
/
daß	w2770
das	w2771
Schif	w2772
der	w2773
William	w2774
von	w2775
hier	w2776
nach	w2777
der	w2778
Ost	w2779
See	w2780
gewidmet	w2781
<g/>
/
auf	w2783
der	w2784
Norwegi=schen	w2785
<g/>
=
Cüste	w2787
verunglüket	w2788
seye	w2789
<g/>
.
</p>
<head id="hl11">
Cöln	w2791
22	w2792
<g/>
.
Augusti	w2794
<g/>
.
</head>
<p id="p32">
Am	w2796
Donnerstag	w2797
<g/>
/
den	w2799
15	w2800
<g/>
.
dieses	w2802
<g/>
/
ist	w2804
des	w2805
Herrn	w2806
Pfaltz	w2807
<g/>
=
Grafen	w2809
von	w2810
Sultzbach	w2811
Hoch=fürstl	w2812
<g/>
=
<g/>
.
Durchl	w2815
<g/>
.
von	w2817
Bonn	w2818
hier	w2819
angelanget	w2820
<g/>
/
und	w2822
nachdeme	w2823
sie	w2824
in	w2825
dem	w2826
Closter	w2827
derer	w2828
Bar=füsser	w2829
<g/>
=
<g/>
=
Carmeliterinnen	w2832
in	w2833
der	w2834
Kupfer	w2835
<g/>
=
Gasse	w2837
bey	w2838
der	w2839
Prinzessin	w2840
dero	w2841
Frau	w2842
Schwester	w2843
die	w2844
Besuchung	w2845
abgeleget	w2846
<g/>
/
seynd	w2848
sie	w2849
nacher	w2850
Bonn	w2851
zuruk	w2852
gekehret	w2853
<g/>
/
alwo	w2855
den	w2856
folgenden	w2857
Tag	w2858
das	w2859
hohe	w2860
Geburts	w2861
Fest	w2862
Jhrer	w2863
Chur	w2864
<g/>
=
Fürstlichen	w2866
Durchl	w2867
<g/>
.
zu	w2869
Cöln	w2870
<g/>
/
welche	w2872
in	w2873
das	w2874
27	w2875
<g/>
.
Jahr	w2877
dero	w2878
Alters	w2879
getretten	w2880
<g/>
/
mit	w2882
gewöhnlichen	w2883
</p>
<p id="p33">
Feyerlichkeiten	w2886
begangen	w2887
<g/>
/
worden	w2889
<g/>
.
Diesel=ben	w2891
<g/>
=
seynd	w2893
den	w2894
18	w2895
<g/>
.
nebst	w2897
hochgedachten	w2898
Herrn	w2899
Pfaltz	w2900
<g/>
=
Grafen	w2902
von	w2903
besagtem	w2904
Bonn	w2905
hiesige	w2906
Stadt	w2907
vorbey	w2908
<g/>
/
nach	w2910
Linn	w2911
<g/>
/
und	w2913
Urdingen	w2914
<g/>
/
in	w2916
dem	w2917
Unter	w2918
<g/>
=
Ertz	w2920
<g/>
=
Stift	w2922
<g/>
/
abgegangen	w2924
<g/>
/
um	w2926
sich	w2927
dasiger	w2928
Orten	w2929
mit	w2930
der	w2931
Jagd	w2932
zu	w2933
belusti=gen	w2934
<g/>
=
<g/>
.
Man	w2937
spricht	w2938
<g/>
/
als	w2940
wann	w2941
in	w2942
diesem	w2943
Chur	w2944
<g/>
=
Fürstentum	w2946
ein	w2947
neues	w2948
Regiment	w2949
Fuß	w2950
<g/>
=
Volk	w2952
solte	w2953
aufgerichtet	w2954
werden	w2955
<g/>
.
</p>
<p id="p34">
Von	w2957
Hannover	w2958
vernimmt	w2959
man	w2960
<g/>
/
daß	w2962
der	w2963
Printz	w2964
Friederich	w2965
<g/>
/
nicht	w2967
nur	w2968
<g/>
/
wegen	w2970
der	w2971
neu=en	w2972
<g/>
=
Titulen	w2974
<g/>
/
so	w2976
des	w2977
Königs	w2978
von	w2979
Groß	w2980
<g/>
=
Bri=tannien	w2982
<g/>
=
Majestät	w2984
dero	w2985
Groß	w2986
<g/>
=
Vatter	w2988
dem=selben	w2989
<g/>
=
gegeben	w2991
<g/>
/
die	w2993
Glükwünschungen	w2994
<g/>
/
son=dern	w2996
<g/>
=
auch	w2998
wegen	w2999
Absterben	w3000
des	w3001
Hertzogens	w3002
Maximilians	w3003
von	w3004
Braunschweig	w3005
<g/>
=
Lüneburg	w3007
<g/>
/
dero	w3009
Herrn	w3010
Groß	w3011
<g/>
=
Oheim	w3013
<g/>
/
die	w3015
Trauer	w3016
<g/>
=
Com- plimenten	w3018
<g/>
-
empfangen	w3020
<g/>
/
auch	w3022
wegen	w3023
dieses	w3024
Tod	w3025
<g/>
=
Falls	w3027
die	w3028
Trauer	w3029
angeleget	w3030
hatte	w3031
<g/>
.
</p>
<head id="hl12">
Brüssel	w3033
24	w3034
<g/>
.
Augusti	w3036
<g/>
.
</head>
<p id="p35">
Der	w3038
Herr	w3039
Mses	w3040
hat	w3041
<g/>
/
alle	w3043
andere	w3044
ausge=schlossen	w3045
<g/>
=
<g/>
/
die	w3048
Verwilligung	w3049
erhalten	w3050
<g/>
/
die	w3052
Baumwollene	w3053
<g/>
=
Leinwat	w3055
<g/>
=
Druckerey	w3057
<g/>
/
so	w3059
weit	w3060
sich	w3061
das	w3062
Gebiete	w3063
derer	w3064
Oesterreichischen	w3065
Nie=derlanden	w3066
<g/>
=
erstreket	w3068
<g/>
/
allein	w3070
zu	w3071
führen	w3072
<g/>
.
Er	w3074
wird	w3075
auch	w3076
seine	w3077
Fabric	w3078
zu	w3079
Vilvorden	w3080
<g/>
/
und	w3082
seine	w3083
Niederlagen	w3084
in	w3085
allen	w3086
andern	w3087
Städten	w3088
des	w3089
Landes	w3090
<g/>
/
aufrichten	w3092
<g/>
.
</p>
<p id="p36">
Jn	w3094
Kraft	w3095
eines	w3096
vor	w3097
diesem	w3098
herausgegan=genen	w3099
<g/>
=
<g/>
/
und	w3102
vor	w3103
kurtzem	w3104
von	w3105
dem	w3106
Antwer=pischen	w3107
<g/>
=
Magistrat	w3109
wieder	w3110
verneuerten	w3111
Edicts	w3112
<g/>
,
werden	w3114
die	w3115
<g/>
/
mit	w3117
Gold	w3118
und	w3119
Silber	w3120
unter=mischten	w3121
<g/>
=
<g/>
/
in	w3124
denen	w3125
Oesterreichischen	w3126
Nieder=landen	w3127
<g/>
=
gearbeiteten	w3129
Seidene	w3130
Zeuge	w3131
<g/>
/
von	w3133
dem	w3134
aus	w3135
dem	w3136
Kaiserl	w3137
<g/>
.
Hofe	w3139
ergangenen	w3140
Verbot	w3141
<g/>
/
daß	w3143
man	w3144
keine	w3145
fremden	w3146
Zeuge	w3147
in	w3148
Jhrer	w3149
Kai=serlichen	w3150
<g/>
=
Majestät	w3152
Erb	w3153
<g/>
.
Länder	w3155
einführen	w3156
sol=le	w3157
<g/>
=
<g/>
/
ausgenommen	w3160
<g/>
.
</p>
<p id="p37">
Nunmehro	w3162
ist	w3163
der	w3164
Verkauf	w3165
derer	w3166
Zeuge	w3167
<g/>
/
zu	w3169
Ostende	w3170
zu	w3171
Ende	w3172
gebracht	w3173
<g/>
/
und	w3175
hat	w3176
man	w3177
selbige	w3178
fast	w3179
um	w3180
denselben	w3181
Preis	w3182
<g/>
/
wie	w3184
vor	w3185
dem	w3186
Jahr	w3187
vergeben	w3188
<g/>
;
die	w3190
Ausländer	w3191
haben	w3192
drey	w3193
Viertel	w3194
von	w3195
allen	w3196
Kauf	w3197
<g/>
=
Gütern	w3199
unserer	w3200
Compagnie	w3201
<g/>
,
an	w3203
sich	w3204
gekauffet	w3205
<g/>
.
</p>
<p id="p38">
Das	w3207
Schloß	w3208
zu	w3209
Marimont	w3210
3	w3211
<g/>
.
Meilen	w3213
von	w3214
Mons	w3215
gelegen	w3216
<g/>
/
welches	w3218
von	w3219
der	w3220
Königin	w3221
Maria	w3222
aus	w3223
Hungarn	w3224
<g/>
/
erbauet	w3226
worden	w3227
<g/>
/
wird	w3229
zu	w3230
Logirung	w3231
der	w3232
Durchl	w3233
<g/>
.
Ertz	w3235
<g/>
=
Hertzo=gin	w3237
<g/>
=
unserer	w3239
Gouvernantin	w3240
<g/>
/
welche	w3242
sich	w3243
einen	w3244
Theil	w3245
des	w3246
Herbst	w3247
alda	w3248
auf	w3249
zu	w3250
halten	w3251
geden=ket	w3252
<g/>
=
<g/>
/
darzu	w3255
eingerichtet	w3256
<g/>
.
</p>
<p id="p39">
Jhre	w3258
Durchl	w3259
<g/>
.
hat	w3261
endlich	w3262
das	w3263
Admodia Admodiations	w3264
<g/>
-
</p>
<p id="p40">
tions	w3266
Werk	w3267
deren	w3268
Renten	w3269
decidiret	w3270
<g/>
/
und	w3272
sel=biges	w3273
<g/>
=
zweyen	w3275
Personen	w3276
von	w3277
Gent	w3278
welche	w3279
noch	w3280
mehr	w3281
zugesellet	w3282
haben	w3283
<g/>
/
für	w3285
1340000	w3286
<g/>
.
fl	w3288
<g/>
.
jährlich	w3290
zu	w3291
erkannt	w3292
<g/>
:
die	w3294
Unkosten	w3295
der	w3296
Ein=richtung	w3297
<g/>
=
müssen	w3299
die	w3300
Pachter	w3301
bezahlen	w3302
<g/>
;
was	w3304
aber	w3305
die	w3306
Pacht	w3307
über	w3308
vorgemeldete	w3309
Summa	w3310
einbringet	w3311
<g/>
/
theilen	w3313
selbige	w3314
mit	w3315
der	w3316
Re=gierung	w3317
<g/>
=
<g/>
.
</p>
<head id="hl13">
Dreßden	w3320
26	w3321
<g/>
.
Augusti	w3323
<g/>
.
</head>
<p id="p41">
Dieser	w3325
Tagen	w3326
hat	w3327
der	w3328
Herr	w3329
Gouver-neur	w3330
<g/>
-
<g/>
,
Graf	w3333
von	w3334
Wakerbart	w3335
<g/>
/
Jhre	w3337
Ho=heit	w3338
<g/>
=
die	w3340
Königl	w3341
<g/>
.
Chur	w3343
<g/>
=
Prinzessin	w3345
auf	w3346
dero	w3347
Schloß	w3348
Sedlitz	w3349
herrlich	w3350
tractiret	w3351
<g/>
.
<g/>
/
</p>
<p id="p42">
Den	w3354
26	w3355
<g/>
.
Dito	w3357
erlebte	w3358
Dreßden	w3359
eine	w3360
solche	w3361
Solennität	w3362
<g/>
/
dergleichen	w3364
es	w3365
in	w3366
vie=len	w3367
<g/>
=
Sæculis Saeculis	w3369
nicht	w3370
erlebet	w3371
<g/>
;
dann	w3373
nachdem	w3374
Jhre	w3375
Königl	w3376
Majestät	w3377
allergnädigst	w3378
be=williget	w3379
<g/>
=
<g/>
/
zu	w3382
Auserbauung	w3383
einer	w3384
neuen	w3385
Marien	w3386
<g/>
=
oder	w3388
Frauen	w3389
<g/>
=
Kirche	w3391
<g/>
/
an	w3393
statt	w3394
der	w3395
alten	w3396
sehr	w3397
Bau	w3398
<g/>
=
fälligen	w3400
<g/>
/
und	w3402
den	w3403
täglichen	w3404
Einfall	w3405
drohenden	w3406
Kirchen	w3407
<g/>
/
die	w3409
Anstalt	w3410
zu	w3411
treffen	w3412
<g/>
;
als	w3414
ward	w3415
im	w3416
Ju=nio	w3417
<g/>
=
der	w3419
Grund	w3420
zu	w3421
Graben	w3422
angefangen	w3423
<g/>
;
heut	w3425
aber	w3426
der	w3427
Grund	w3428
<g/>
=
Stein	w3430
im	w3431
Namen	w3432
Jhrer	w3433
Königl	w3434
<g/>
.
Majest	w3436
durch	w3437
den	w3438
würk=lichen	w3439
<g/>
=
Herrn	w3441
geheimen	w3442
Raht	w3443
<g/>
/
Appell	w3445
<g/>
.
und	w3447
Ober	w3448
<g/>
=
Consist	w3450
<g/>
.
Præsident Praesident	w3452
von	w3453
Lei=pziger	w3454
<g/>
=
<g/>
/
mit	w3457
einer	w3458
silbernen	w3459
Kelle	w3460
<g/>
/
und	w3462
Hammer	w3463
geleget	w3464
<g/>
.
Vorher	w3466
hielte	w3467
der	w3468
Superintendens	w3469
D	w3470
<g/>
.
Löscher	w3472
<g/>
/
in	w3474
der	w3475
al=ten	w3476
<g/>
=
Kirche	w3478
über	w3479
Es	w3480
<g/>
.
28	w3482
<g/>
.
v	w3484
<g/>
.
16	w3486
<g/>
.
bey	w3488
einer	w3489
unsäglichen	w3490
Menge	w3491
Volks	w3492
<g/>
/
eine	w3494
Predig	w3495
<g/>
/
dabey	w3497
aus	w3498
dem	w3499
Proloquio	w3500
Zach	w3501
<g/>
.
4	w3503
<g/>
.
v	w3505
<g/>
.
7	w3507
<g/>
.
und	w3509
Exordio	w3510
Es	w3511
<g/>
.
44	w3513
<g/>
.
v	w3515
<g/>
.
28	w3517
<g/>
.
vorgestel=tet	w3519
<g/>
=
worden	w3521
<g/>
;
das	w3523
Göttliche	w3524
Glük	w3525
zu	w3526
<g/>
!
Glük	w3528
zu	w3529
<g/>
!
dem	w3531
in	w3532
Namen	w3533
JEsu	w3534
zule=genden	w3535
<g/>
=
Grund	w3537
<g/>
=
Steine	w3539
<g/>
;
da	w3541
dann	w3542
in	w3543
der	w3544
Kirchen	w3545
so	w3546
wol	w3547
vor	w3548
als	w3549
nach	w3550
der	w3551
Pre=dig	w3552
<g/>
=
<g/>
/
ingleichen	w3555
bey	w3556
dem	w3557
Grunde	w3558
vor	w3559
und	w3560
nach	w3561
Legung	w3562
des	w3563
Grund	w3564
<g/>
=
Steines	w3566
bey	w3567
Paucken	w3568
und	w3569
Trompeten	w3570
eine	w3571
vor=trefliche	w3572
<g/>
=
Music	w3574
gehöret	w3575
worden	w3576
<g/>
.
Nach	w3578
der	w3579
Predig	w3580
gieng	w3581
der	w3582
Zug	w3583
aus	w3584
der	w3585
Sa=cristy	w3586
<g/>
=
in	w3588
den	w3589
Grund	w3590
<g/>
/
da	w3592
dann	w3593
erstlich	w3594
</p>
<p id="p43">
die	w3598
Geistlichkeit	w3599
hiesiges	w3600
Orts	w3601
<g/>
/
dann	w3603
der	w3604
Senat	w3605
ferner	w3606
der	w3607
geheime	w3608
Raht	w3609
<g/>
/
und	w3611
Præses Praeses	w3612
von	w3613
Leipziger	w3614
<g/>
/
in	w3616
Beglei=tung	w3617
<g/>
=
zweyer	w3619
Senatorum	w3620
<g/>
,
der	w3622
Herr	w3623
Gou-verneur	w3624
<g/>
-
Graf	w3626
von	w3627
Wakerbart	w3628
<g/>
/
nebst	w3630
denen	w3631
Herren	w3632
geheimen	w3633
Rähten	w3634
<g/>
/
dabey	w3636
sich	w3637
auch	w3638
der	w3639
Ober	w3640
<g/>
=
Hof	w3642
<g/>
=
Prediger	w3644
be=funden	w3645
<g/>
=
<g/>
/
und	w3648
andere	w3649
Vornehme	w3650
erschie=nen	w3651
<g/>
=
<g/>
.
Der	w3654
Ober	w3655
<g/>
=
Consistorial	w3657
<g/>
-
Raht	w3659
<g/>
/
und	w3661
Syndicus	w3662
D	w3663
<g/>
.
Schröder	w3665
<g/>
/
thate	w3667
an	w3668
dem	w3669
Steine	w3670
eine	w3671
solenne	w3672
Rede	w3673
<g/>
/
die	w3675
der	w3676
Herr	w3677
geheime	w3678
Raht	w3679
von	w3680
Leipziger	w3681
be=antwortete	w3682
<g/>
